question_id,survey_id,source_question_order,family,normalized_text,answer_type,base_n,unique_values,recovery_status,reuse_status,adapt_for,caveat
q_9e1100521f28,tally_3Ex5xX,31,other,Узнаваемость продуктов/проектов компании во внешней среде,numeric,190,5,verified,adapt,,
q_9213f1534919,tally_3Ex5xX,32,WTP,Реализация высокобюджетных проектов,numeric,43,4,verified,ready,,
q_0b40e36235eb,tally_3Ex5xX,33,other,Возможность релокации,numeric,190,5,verified,adapt,,
q_944578cb6e63,tally_3Ex5xX,34,other,Личный бренд руководителя компании,numeric,190,5,verified,adapt,,
q_8569d75a33bc,tally_3Ex5xX,35,channel,Наличие внутренних каналов коммуникации,numeric,411,5,verified,ready,,
q_b4020b0f062f,tally_3Ex5xX,36,other,Адаптация и обучение при выходе на работу,numeric,368,5,verified,adapt,,
q_bcc3f62af925,tally_3Ex5xX,37,other,"Корпоративное обучение, оплата внешних курсов",numeric,411,5,verified,adapt,,
q_6112df85c846,tally_3Ex5xX,38,other,Доступность обучения,numeric,411,5,verified,adapt,,
q_ec523651dc8b,tally_3Ex5xX,39,other,Скорость найма,numeric,411,4,verified,adapt,,
q_d3d49ac18f63,tally_3Ex5xX,40,other,1. обязанности сотрудников четко определены,numeric,411,4,verified,adapt,,
q_77d1d752085a,tally_3Ex5xX,41,other,2. индивидуальные цели четко определены,numeric,411,3,verified,adapt,,
q_b8b813af7810,tally_3Ex5xX,42,other,3. по результатам работы принимаются конкретные меры,numeric,411,4,verified,adapt,,
q_43a1d2869053,tally_3Ex5xX,43,other,4. сотрудники несут личную ответственность,numeric,411,4,verified,adapt,,
q_45da6d22152d,tally_3Ex5xX,44,other,1. сотрудники знают долгосрочные цели компании (цели на 1-3 года),numeric,411,4,verified,adapt,,
q_d9ab86fe5fd4,tally_3Ex5xX,45,WTP,2. существует ясная стратегия развития,numeric,411,4,verified,ready,,
q_fbba0531b2d7,tally_3Ex5xX,46,other,3. сотрудники компании вовлечены в ее успех,numeric,411,4,verified,adapt,,
q_110dc4933e7d,tally_3Ex5xX,47,other,1. оценка эффективности сотрудников,numeric,411,4,verified,adapt,,
q_7624e31cb23a,tally_3Ex5xX,48,other,2. управление операционной деятельностью,numeric,411,4,verified,adapt,,
q_6796caabc9f0,tally_3Ex5xX,49,other,3. управление финансами,numeric,411,4,verified,adapt,,
q_6a40da4d05f3,tally_3Ex5xX,50,demographics,4. внедрение и использование профессиональных стандартов работы,numeric,411,4,verified,adapt,,
q_8909a8e50f1c,tally_3Ex5xX,51,other,5. управление рисками,numeric,411,5,verified,adapt,,
q_f096baf6d315,tally_3Ex5xX,52,other,1. есть понимание клиентоориентированности,numeric,411,4,verified,adapt,,
q_25571ad4b4e8,tally_3Ex5xX,53,scenario,2. есть понимание конкурентной ситуации,numeric,411,4,verified,ready,,
q_bfd3bc3a7df3,tally_3Ex5xX,54,other,3. есть развитие и поддержка деловых партнерств (не только с клиентами),numeric,411,4,verified,adapt,,
q_d895f8521896,tally_3Ex5xX,55,other,4. проводятся работы по развитию отношений с государственными организациями,numeric,411,4,verified,adapt,,
q_16ef5fc020fd,tally_3Ex5xX,56,other,1. авторитарный стиль управления,numeric,411,4,verified,adapt,,
q_d20806f4a1d8,tally_3Ex5xX,57,trust,"2. консультативный стиль управления (даются не указания, а рекомендации)",numeric,411,4,verified,ready,,
q_4ed53a5d9762,tally_3Ex5xX,58,other,3. патерналистский стиль управления (высокий уровень заботы о сотрудниках),numeric,411,4,verified,adapt,,
q_ea660ceacd12,tally_3Ex5xX,59,other,"4. стимулирующий стиль управления (косвенное управление, через мотивацию)",numeric,411,4,verified,adapt,,
q_c5a2aa29bdee,tally_3Ex5xX,60,other,"1. инициируются ""сверху""",numeric,411,4,verified,adapt,,
q_6a8c81ca5de0,tally_3Ex5xX,61,other,"2. инициируются ""снизу""",numeric,411,4,verified,adapt,,
q_de8f3cbde8f6,tally_3Ex5xX,62,switching,"3. налажен обмен знаниями (о методах продаж, о конкурентах, о новинках продукции и пр.)",numeric,411,4,verified,ready,,
q_c962eb3c01c0,tally_3Ex5xX,63,switching,4. внедряются идеи из внешней среды (перенимаем лучшие практики конкурентов),numeric,411,4,verified,ready,,
q_d2288fb78dea,tally_3Ex5xX,64,other,1. привлекаются лучшие кадры,numeric,411,4,verified,adapt,,
q_b53c44e7d345,tally_3Ex5xX,65,other,2. занимаются развитием сотрудников,numeric,411,4,verified,adapt,,
q_b57aeb75cad7,tally_3Ex5xX,66,other,3. накапливаются знания,numeric,411,4,verified,adapt,,
q_120af437aa4e,tally_3Ex5xX,67,other,4. привлекает экспертов со стороны,numeric,411,4,verified,adapt,,
q_af00b680bfd6,tally_3Ex5xX,68,trust,1. практикуется открытость и доверие,numeric,411,3,verified,ready,,
q_7ef66845cdbe,tally_3Ex5xX,69,switching,2. есть внутренняя соревновательность (внутренняя конкуренция),numeric,411,4,verified,ready,,
q_a80f2d3b664b,tally_3Ex5xX,70,other,3. реализована операционная дисциплин,numeric,411,4,verified,adapt,,
q_0c4a48d31903,tally_3Ex5xX,71,other,4. поощряется инициативность и предприимчивость,numeric,411,4,verified,adapt,,
q_b83d2d1cfb6d,tally_3Ex5xX,72,other,1. есть система ценностей,numeric,411,4,verified,adapt,,
q_1cfdc48d8264,tally_3Ex5xX,73,other,"2. руководители являются лидерами (видят перспективу, вдохновляют следовать за собой)",numeric,411,4,verified,adapt,,
q_f0a5386ab382,tally_3Ex5xX,74,other,3. есть все возможности для служебного роста,numeric,411,4,verified,adapt,,
q_c7c56b73b53c,tally_3Ex5xX,75,other,4. работают финансовые стимулы,numeric,411,4,verified,adapt,,
q_75d5f0bc5d8e,tally_3Ex5xX,76,other,5. признают достижения и заслуги,numeric,411,3,verified,adapt,,
q_f39d7611f8ab,tally_3Ex5xX,77,scenario,"В компании решения принимаются всегда по всем известным, общепринятым правилам ИЛИ каждый раз зависят от контекста и ситуации?",single,411,5,verified,ready,,
q_cbf8e25882e1,tally_3Ex5xX,78,demographics,Сотрудники сконцентрированы на выполнение своей обязанности ИЛИ выполняют любые задачи,single,411,5,verified,adapt,,
q_6f28c88e0f8f,tally_3Ex5xX,79,other,В компании сотрудники сконцентрированы в работе на здесь и сейчас ИЛИ сотрудники смотрят в будущее?,single,411,5,verified,adapt,,
q_3395ca8926fb,tally_3Ex5xX,80,other,В компании принята короткая дистанция между руководителем и подчиненным ИЛИ принята длинная дистанция между руководителем и подчиненным?,single,411,5,verified,adapt,,
q_1ae90fef83bd,tally_3Ex5xX,81,other,"Сотрудники действуют самостоятельно, каждый сам за себя ИЛИ ориентированы на командную работу?",single,411,5,verified,adapt,,
q_df2cc44152c6,tally_3Ex5xX,82,other,С какими ассоциациями о компании ЭТАЖИ / образом компании вы сталкивались? Какие ассоциации возникают у Вас?,open,411,195,verified,adapt,,
q_7172a5cbaee0,tally_3Ex5xX,83,other,"Инновации (Креативная рабочая среда, поощряющая инновации и предпринимательство)",numeric,411,5,verified,adapt,,
q_7219a8ec5bf2,tally_3Ex5xX,84,other,Вызов и результат (Стремление к совершенству и высокорезультативная рабочая среда),numeric,411,5,verified,adapt,,
q_143a52844990,tally_3Ex5xX,85,other,Миссия (Ориентация на будущее в своей ежедневной работе),numeric,411,5,verified,adapt,,
q_c67159f35fb4,tally_3Ex5xX,86,trust,"Репутация (Лидерство, стабильность, финансовая безопасность",numeric,411,5,verified,ready,,
q_b4556bb0014d,tally_3Ex5xX,87,other,Профессиональное развитие (Постоянное обучение и профессиональное развитие),numeric,411,5,verified,adapt,,
q_306064dddad9,tally_3Ex5xX,88,other,Возможности (Мобильность внутри компании и возможность попробовать себя в разных направлениях),numeric,411,5,verified,adapt,,
q_6fcc2cace4ae,tally_3Ex5xX,89,other,Автономия (Возможность проявлять инициативу и быть самим собой),numeric,411,5,verified,adapt,,
q_af526a90a3ad,tally_3Ex5xX,90,other,Команда (Работа в команде и взаимоуважение),numeric,411,5,verified,adapt,,
q_5fe013897cd5,tally_3Ex5xX,91,demographics,"Укажите, пожалуйста, ваш пол",single,411,2,verified,adapt,,
q_1c0ec762c320,tally_3Ex5xX,92,demographics,"Укажите, пожалуйста, возраст",numeric,411,26,verified,adapt,,
q_80074a04fb12,tally_3Ex5xX,93,demographics,Ваш город,open,411,32,verified,adapt,,
q_ddd9b619996b,tally_mZ6Rp0,1,other,1. В какой сфере Вы работаете на текущий момент?,open,500,17,verified,adapt,,
q_db1b5f9d4140,tally_mZ6Rp0,2,barrier,2. По каким причинам Вы выбрали эту сферу для карьеры?,open,500,246,verified,ready,,
q_c390367fd0d1,tally_mZ6Rp0,3,demographics,3. Какую должность Вы занимаете на данный момент?,open,500,115,verified,adapt,,
q_13ffafc5739e,tally_mZ6Rp0,4,demographics,4. Какой Ваш общий стаж работы в этой сфере?,single,500,6,verified,adapt,,
q_608ede70ad81,tally_mZ6Rp0,5,demographics,5. Какие каналы и инструменты Вы используете (использовали) 1 при поиске работы,multi,500,79,verified,adapt,,
q_baa8c644b5e0,tally_mZ6Rp0,6,open,Другое,single,1,1,verified,adapt,,
q_603efc0dff71,tally_mZ6Rp0,7,factor,"6. Оцените от 1 до 5, насколько важны для Вас следующие факторы при выбора работодателя от 1 до 5, где 1 — неважно, 5 — важно",matrix,500,499,reconstructed,source_check,,matrix/UUID needs form schema
q_480294e31ccf,tally_mZ6Rp0,8,scenario,7. Какие компании Вы когда-нибудь рассматривали (рассматриваете сейчас) в качестве потенциального работодателя?,open,500,73,verified,ready,,
q_aa7d5f5cad02,tally_mZ6Rp0,9,awareness,8. Слышали ли Вы о компании «Главстрой»?,single,500,2,verified,ready,,
q_c8aed7daeb3b,tally_mZ6Rp0,10,consideration,9. Рассматриваете ли Вы «Главстрой» в качестве потенциального работодателя?,single,258,2,verified,ready,,
q_abc8b39f4524,tally_mZ6Rp0,11,barrier,9.1 Почему не рассматриваете?,single,21,14,verified,ready,,
q_82b84ad2ee90,tally_mZ6Rp0,12,demographics,10. Укажите Ваш пол,single,500,2,verified,adapt,,
q_acb94f2cc3f2,tally_mZ6Rp0,13,demographics,11. Укажите Ваш возраст,single,500,6,verified,adapt,,
q_76c80180e971,tally_mZ6Rp0,14,demographics,12. Укажите Ваш город,single,500,13,verified,adapt,,
q_c5a0741fc340,tally_mZ6Rp0,15,factor,"13. Оцените, в какой из перечисленных компаний представлены следующие возможности: мобильность внутри компании и возможность попробовать себя в разных направлениях",multi,500,114,verified,ready,,
q_2e6f9f308d63,tally_mZ6Rp0,16,factor,"14. Оцените, в какой из перечисленных компаний представлены следующие ценности: возможность проявлять инициативу и быть самим собой",multi,500,115,verified,ready,,
q_a8dcd7cedecb,tally_mZ6Rp0,17,factor,"15. Оцените, в какой из перечисленных компаний представлены следующие ценности: работа в команде и взаимоуважение",multi,500,117,verified,ready,,
q_57ec3d77b591,tally_mZ6Rp0,18,factor,"16. Оцените, в какой из перечисленных компаний представлены следующие ценности: постоянное обучение и профессиональное развитие",multi,500,116,verified,ready,,
q_38be6db54390,tally_mZ6Rp0,19,factor,"17. Оцените, в какой из перечисленных компаний представлены следующие ценности: лидерство, стабильность роста, финансовая безопасность",multi,500,113,verified,ready,,
q_98ae2b94827f,tally_mZ6Rp0,20,factor,"18. Оцените, в какой из перечисленных компаний представлены следующие ценности: ориентация на будущее в своей ежедневной работе",multi,500,116,verified,ready,,
q_2ec7e9e387c0,tally_mZ6Rp0,21,factor,"19. Оцените, в какой из перечисленных компаний представлены следующие ценности: стремление к совершенству и высокорезультативная рабочая среда",multi,500,115,verified,ready,,
q_c63bffc37f9a,tally_mZ6Rp0,22,factor,"20. Оцените, в какой из перечисленных компаний представлены следующие ценности: креативная рабочая среда, поощряющая инновации и предпринимательство",multi,500,109,verified,ready,,
q_5c2f74f4e198,tally_mO05EK,1,other,Номер анкеты,open,419,340,verified,adapt,,
q_bd7148e27bc0,tally_mO05EK,2,demographics,1. Укажите Ваш пол,single,420,2,verified,adapt,,
q_e20b744504d3,tally_mO05EK,3,demographics,2. Укажите Ваш возраст,single,420,7,verified,adapt,,
q_ed13e3808a2a,tally_mO05EK,4,demographics,3. Укажите Ваш род занятий,single,420,5,verified,adapt,,
q_f9d65563f560,tally_mO05EK,5,demographics,"4. Укажите, пожалуйста, Ваш уровень дохода",single,420,5,verified,adapt,,
q_d241350bef62,tally_mO05EK,6,demographics,5. Укажите Ваш стаж вождения,single,420,7,verified,adapt,,
q_eae38865bcbe,tally_mO05EK,7,demographics,6. Укажите возраст Вашего автомобиля,single,342,6,verified,adapt,,
q_249ded462c0e,tally_mO05EK,8,WTP,"7. Укажите стоимость последней покупки авто  Если не покупали, то на какой ценовой диапазон Вы бы могли рассчитывать",single,342,7,verified,ready,,
q_013030d1f69c,tally_mO05EK,9,awareness,8. Какие автосервисы Вы знаете?,multi,342,210,verified,ready,,
q_aff8731eac7c,tally_mO05EK,10,other,8NvE2Y,single,6,6,unreliable,source_check,,matrix/UUID needs form schema
q_ecb0a3105e6d,tally_mO05EK,11,demographics,9. Услугами каких автосервисов Вы пользовались?,multi,342,163,verified,adapt,,
q_bf9ccb30086d,tally_mO05EK,12,other,0V2AG0,single,7,6,unreliable,source_check,,matrix/UUID needs form schema
q_ed09a29ea199,tally_mO05EK,13,other,10. Какой автосервис Вы считаете лучшим?,single,342,10,verified,adapt,,
q_1deaccb3de6b,tally_mO05EK,14,other,zEpbg8,single,8,8,unreliable,source_check,,matrix/UUID needs form schema
q_2f8168f8faba,tally_mO05EK,15,demographics,"11. Услугами каких автосервисов Вы пользовались, но перестали?",multi,342,72,verified,adapt,,
q_b03efceff03d,tally_mO05EK,16,other,5X6OrP,single,15,15,unreliable,source_check,,matrix/UUID needs form schema
q_0fef70dc7fc8,tally_mO05EK,17,WTP,"12. Какой автосервис, на Ваш взгляд, с самыми доступными ценами?",single,342,10,verified,ready,,
q_8d3e45750775,tally_mO05EK,18,other,dbLRgy,single,5,5,unreliable,source_check,,matrix/UUID needs form schema
q_27700ac758bf,tally_mO05EK,19,other,"13. Какой автосервис, на Ваш взгляд, имеет самый широкий перечень услуг?",single,342,10,verified,adapt,,
q_b76e22828e87,tally_mO05EK,20,other,YjEqe6,single,7,7,unreliable,source_check,,matrix/UUID needs form schema
q_1a740990eefb,tally_mO05EK,21,other,"14. Какой автосервис, на Ваш взгляд, дает возможность самой быстрой и удобной диагностики и ремонта авто?",single,342,10,verified,adapt,,
q_0aaa2d796190,tally_mO05EK,22,other,DqrWbj,single,6,6,unreliable,source_check,,matrix/UUID needs form schema
q_87dfe784efee,tally_mO05EK,23,other,"15. У какого автосервис, на Ваш взгляд, есть технологии/подходы к ремонту и обслуживанию авто, которые кажутся Вам уникальными/передовыми?",single,342,10,verified,adapt,,
q_d5ab2d92b7c5,tally_mO05EK,24,other,lao4gp,single,13,11,unreliable,source_check,,matrix/UUID needs form schema
q_3fd030f6b0ff,tally_mO05EK,25,other,"16. Какой автосервис, на Ваш взгляд, имеет самых квалифицированных специалистов и экспертный подход?",single,342,10,verified,adapt,,
q_f8848d73ed96,tally_mO05EK,26,other,RWXr2p,single,9,9,unreliable,source_check,,matrix/UUID needs form schema
q_ab8c2a512c4f,tally_mO05EK,27,other,"17. Какой автосервис, на Ваш взгляд, предоставляет самый широкий функционал для дистанционного взаимодействия с Клиентом?",single,342,10,verified,adapt,,
q_a7404a34570a,tally_mO05EK,28,other,o9rxgX,single,14,13,unreliable,source_check,,matrix/UUID needs form schema
q_2977adaa29e8,tally_mO05EK,29,factor,"18. Оцените от 1 до 5 важность факторов при выборе автосервиса, где 1 - незначимый фактор, 5 - значимый фактор",matrix,344,289,reconstructed,source_check,,matrix/UUID needs form schema
q_d5d598fae618,tally_mO05EK,30,factor,"19. Оцените важность следующих пунктов в автосервисе, в котором Вы решили диагностировать/чинить авто.",matrix,344,300,reconstructed,source_check,,matrix/UUID needs form schema
q_9dcb38984481,tally_mO05EK,31,factor,"20. Оцените важность пунктов в мобильном приложении автосервиса, в котором Вы решили диагностировать/чинить авто.",matrix,344,288,reconstructed,source_check,,matrix/UUID needs form schema
q_e77d1dc913b4,tally_mO05EK,32,behavior,21. Как давно Вы покупали б/у автомобиль?,single,342,4,verified,ready,,
q_dc863b0570f8,tally_mO05EK,33,awareness,22. Каких дилеров Вы знаете?,multi,226,53,verified,ready,,
q_98775bbb5c8b,tally_mO05EK,34,other,GeN7k2,single,2,2,unreliable,source_check,,matrix/UUID needs form schema
q_737f48766948,tally_mO05EK,35,behavior,22. У каких дилеров Вы покупали/купили бы авто?,multi,226,30,verified,ready,,
q_d8913629694e,tally_mO05EK,36,other,OQpVrp,single,4,4,unreliable,source_check,,matrix/UUID needs form schema
q_55a045b7aef6,tally_mO05EK,37,other,"23. Какой дилер, по Вашему мнению, лучший?",single,226,6,verified,adapt,,
q_ea531f27baa8,tally_mO05EK,38,other,VpRxdE,single,4,4,unreliable,source_check,,matrix/UUID needs form schema
q_b2e411987f14,tally_mO05EK,39,behavior,"24. У каких дилеров Вы покупали/планировали купить авто, но решили, что не будете покупать?",multi,226,20,verified,ready,,
q_bb5aab810b94,tally_mO05EK,40,other,PRMPgd,single,2,2,unreliable,source_check,,matrix/UUID needs form schema
q_cb6f97b764a5,tally_mO05EK,41,WTP,"25. Какой дилер, на Ваш взгляд, с самыми доступными ценами?",single,226,6,verified,ready,,
q_09a17aa09c68,tally_mO05EK,42,other,Eqjagq,single,1,1,unreliable,source_check,,matrix/UUID needs form schema
q_5c0b7daddb0f,tally_mO05EK,43,other,"26. Какой дилер по продаже автомобилей, на Ваш взгляд, самый крупный/имеет широкий выбор?",single,226,6,verified,adapt,,
q_47a55d6bced7,tally_mO05EK,44,other,rDNqp5,single,2,1,unreliable,source_check,,matrix/UUID needs form schema
q_6a35bc9113d6,tally_mO05EK,45,other,"27. Какой дилер, на Ваш взгляд, дает возможность самой быстрой и удобной покупки авто?",single,226,6,verified,adapt,,
q_d83124bad913,tally_mO05EK,46,other,4aWGqB,single,3,2,unreliable,source_check,,matrix/UUID needs form schema
q_c298474da48d,tally_mO05EK,47,other,"28. У какого дилера, на Ваш взгляд, быстрее всего появляются новые экземпляры авто?",single,226,6,verified,adapt,,
q_7e7a1799d618,tally_mO05EK,48,other,jedEp6,single,4,2,unreliable,source_check,,matrix/UUID needs form schema
q_f49d1fd71064,tally_mO05EK,49,other,"29. Какой дилер, на Ваш взгляд, предоставляет самое лучшее обслуживание/клиентский сервис?",single,226,6,verified,adapt,,
q_72d0276bdc5a,tally_mO05EK,50,other,2jqRZA,single,4,3,unreliable,source_check,,matrix/UUID needs form schema
q_8d2366a4272b,tally_mO05EK,51,other,"30. Какой дилер, на Ваш взгляд, дает новый (отличающийся от других) опыт покупки авто?",single,226,6,verified,adapt,,
q_827de30bafb8,tally_mO05EK,52,other,xVk6oJ,single,4,3,unreliable,source_check,,matrix/UUID needs form schema
q_8fecc6353ead,tally_mO05EK,53,factor,"31. Оцените от 1 до 5 важность факторов в дилере при покупке авто, где 1 - незначимый фактор, 5 - значимый фактор",matrix,227,166,reconstructed,source_check,,matrix/UUID needs form schema
q_e6aef18fefed,tally_mO05EK,54,factor,"32. Оцените важность следующих пунктов в дилере, в котором Вы решили покупать авто:",matrix,227,174,reconstructed,source_check,,matrix/UUID needs form schema
q_da4110807679,tally_mO05EK,55,demographics,"33. Скажите, пожалуйста, по какой причине Вы можете попросить дополнительную скидку на автомобиль?",open,225,201,verified,adapt,,
q_b8e92615e183,tally_mO05EK,56,open,Другое (впишите свой вариант),single,1,1,verified,adapt,,
q_f28d6ea32fb9,tally_mO05EK,57,open,Другое ((впишите свой вариант),single,1,1,verified,adapt,,
q_a0fb8884c223,tally_mYWglz,1,other,dbdaEd,single,212,9,unreliable,source_check,,matrix/UUID needs form schema
q_37de9e4ea728,tally_mYWglz,2,channel,1. Где вы чаще всего покупаете хлеб?,multi,232,58,verified,ready,,
q_bc23268b4075,tally_mYWglz,3,frequency,2. Как часто вы покупаете хлеб в пекарне при следующих сценариях?,matrix,232,189,reconstructed,source_check,,matrix/UUID needs form schema
