survey_id,project,survey_type,category,geography,field_date,sample_n,question_count,platform,primary_raw_file_id,raw_file,recovery_status,reuse_value,families,answer_types,notes
tally_w2Q0b9,EN. Исследование по аудитории пациентов в Казахстане,B2C Choice,healthcare,,,404,33,Tally,raw_0027,/var/folders/y7/z20t7xkd2w7_cy1_ksrzxwxh0000gn/T/tally_export.zip::tally_export/EN. Исследование по аудитории пациентов в Казахстане [w2Q0b9].csv,partly_reconstructed,high,other:13;demographics:7;scenario:3;barrier:3;behavior:2;factor:2;switching:1;trust:1;awareness:1,multi:24;single:6;numeric:1;matrix:1;open:1,
tally_3EdEXq,КПК72,B2C Choice,finance,,,418,43,Tally,raw_0028,/var/folders/y7/z20t7xkd2w7_cy1_ksrzxwxh0000gn/T/tally_export.zip::tally_export/КПК72 [3EdEXq].csv,verified,high,other:21;demographics:11;scenario:3;channel:2;frequency:1;WTP:1;behavior:1;awareness:1;trust:1;factor:1,open:18;numeric:16;single:9,
tally_w4jl05,Анкета количественного исследования для ГРФ (неклиенты)_2,Internal Employee,HR/EVP,,,201,33,Tally,raw_0029,/var/folders/y7/z20t7xkd2w7_cy1_ksrzxwxh0000gn/T/tally_export.zip::tally_export/Анкета количественного исследования для ГРФ (неклиенты)_2 [w4jl05].csv,partly_reconstructed,high,other:9;behavior:5;demographics:5;scenario:3;factor:3;screening:2;WTP:2;open:1;frequency:1;awareness:1;channel:1,open:12;single:10;multi:5;unknown:3;matrix:2;numeric:1,
tally_meaMNl,(ДЖУГ неклиенты) Исследование опыта участников IT-конференций,Event Conference,event/conference,,,464,47,Tally,raw_0030,/var/folders/y7/z20t7xkd2w7_cy1_ksrzxwxh0000gn/T/tally_export.zip::tally_export/(ДЖУГ неклиенты) Исследование опыта участников IT-конференций [meaMNl].csv,unreliable,high,other:25;barrier:4;behavior:3;demographics:3;frequency:3;consideration:2;factor:2;awareness:2;scenario:1;channel:1;open:1,single:22;multi:16;open:4;matrix:3;unknown:2,duplicate_raw:raw_0095
tally_3j1bra,Опрос про губки,B2C Choice,home/electronics,,,373,43,Tally,raw_0031,/var/folders/y7/z20t7xkd2w7_cy1_ksrzxwxh0000gn/T/tally_export.zip::tally_export/Опрос про губки [3j1bra].csv,partly_reconstructed,high,other:18;behavior:7;demographics:6;channel:5;frequency:2;switching:1;WTP:1;scenario:1;awareness:1;factor:1,single:18;multi:17;open:6;numeric:1;matrix:1,
tally_mYZDvN,Альтернатива. Внутренний опрос.,Internal Employee,HR/EVP,,,258,29,Tally,raw_0032,/var/folders/y7/z20t7xkd2w7_cy1_ksrzxwxh0000gn/T/tally_export.zip::tally_export/Альтернатива. Внутренний опрос. [mYZDvN].csv,partly_reconstructed,high,switching:12;demographics:7;factor:7;other:2;scenario:1,matrix:14;single:9;open:3;numeric:2;multi:1,
tally_3XDlbe,Национальная лотерея,Event Conference,event/conference,,,404,52,Tally,raw_0033,/var/folders/y7/z20t7xkd2w7_cy1_ksrzxwxh0000gn/T/tally_export.zip::tally_export/Национальная лотерея [3XDlbe].csv,partly_reconstructed,high,other:21;demographics:10;WTP:8;factor:3;barrier:2;behavior:2;open:1;frequency:1;scenario:1;channel:1;awareness:1;trust:1,single:34;open:11;multi:5;numeric:1;matrix:1,
tally_nP6Jkx,Октобанк,B2C Choice,finance,,,415,73,Tally,raw_0034,/var/folders/y7/z20t7xkd2w7_cy1_ksrzxwxh0000gn/T/tally_export.zip::tally_export/Октобанк [nP6Jkx].csv,partly_reconstructed,high,demographics:34;other:17;channel:7;WTP:5;scenario:4;open:1;screening:1;behavior:1;factor:1;awareness:1;frequency:1,single:36;multi:19;matrix:11;open:5;numeric:2,
tally_wADybN,Анкетирование сотрудников _БФТ_.,Internal Employee,HR/EVP,,,527,20,Tally,raw_0035,/var/folders/y7/z20t7xkd2w7_cy1_ksrzxwxh0000gn/T/tally_export.zip::tally_export/Анкетирование сотрудников _БФТ_. [wADybN].csv,partly_reconstructed,high,other:11;demographics:6;behavior:2;scenario:1,single:7;matrix:6;multi:4;open:3,duplicate_raw:raw_0091
tally_wkYYpR,Анкета для количественного исследования К+31,B2C Choice,healthcare,,,420,94,Tally,raw_0036,/var/folders/y7/z20t7xkd2w7_cy1_ksrzxwxh0000gn/T/tally_export.zip::tally_export/Анкета для количественного исследования К+31 [wkYYpR].csv,unreliable,high,other:74;demographics:8;factor:6;behavior:4;barrier:2,open:32;single:30;unknown:20;multi:6;numeric:4;matrix:2,
tally_31egdp,Анкета для опросов не клиентов Восточки,B2C Choice,food/FMCG,,,200,29,Tally,raw_0037,/var/folders/y7/z20t7xkd2w7_cy1_ksrzxwxh0000gn/T/tally_export.zip::tally_export/Анкета для опросов не клиентов Восточки [31egdp].csv,partly_reconstructed,high,other:10;WTP:4;demographics:4;scenario:3;factor:3;barrier:2;channel:1;frequency:1;behavior:1,single:13;multi:12;matrix:2;numeric:1;open:1,
tally_3ENlQo,Исследование потребительских предпочтений и факторов выбора при оформлении займо,B2C Choice,finance,,,221,41,Tally,raw_0038,/var/folders/y7/z20t7xkd2w7_cy1_ksrzxwxh0000gn/T/tally_export.zip::tally_export/Исследование потребительских предпочтений и факторов выбора при оформлении займо [3ENlQo].csv,partly_reconstructed,high,other:11;demographics:10;channel:9;scenario:4;behavior:2;frequency:2;factor:1;WTP:1;consideration:1,single:15;open:11;multi:8;matrix:3;unknown:3;numeric:1,
tally_mBBxqQ,Опрос сотрудников Корпорации Термекс,EVP Employer,HR/EVP,,,292,26,Tally,raw_0039,/var/folders/y7/z20t7xkd2w7_cy1_ksrzxwxh0000gn/T/tally_export.zip::tally_export/Опрос сотрудников Корпорации Термекс [mBBxqQ].csv,partly_reconstructed,high,demographics:7;WTP:7;factor:5;other:4;open:2;scenario:1,matrix:12;single:11;multi:1;open:1;numeric:1,
tally_woXJlV,Ringo. Հարցաթերթիկ հաճախորդների համար,B2C Choice,food/FMCG,,,1084,42,Tally,raw_0040,/var/folders/y7/z20t7xkd2w7_cy1_ksrzxwxh0000gn/T/tally_export.zip::tally_export/Ringo. Հարցաթերթիկ հաճախորդների համար [woXJlV].csv,partly_reconstructed,high,other:42,open:13;matrix:12;single:9;multi:7;unknown:1,duplicate_raw:raw_0094
tally_3XVBRO,Опрос-исследование фитнес-клубы,B2C Choice,healthcare,,,200,55,Tally,raw_0041,/var/folders/y7/z20t7xkd2w7_cy1_ksrzxwxh0000gn/T/tally_export.zip::tally_export/Опрос-исследование фитнес-клубы [3XVBRO].csv,unreliable,high,other:36;demographics:8;behavior:5;screening:1;barrier:1;scenario:1;factor:1;frequency:1;awareness:1,single:23;multi:16;open:12;unknown:3;matrix:1,
tally_mJ0A4r,Опрос про автомобили (Ростов),B2C Choice,auto/mobility,,,411,57,Tally,raw_0042,/var/folders/y7/z20t7xkd2w7_cy1_ksrzxwxh0000gn/T/tally_export.zip::tally_export/Опрос про автомобили (Ростов) [mJ0A4r].csv,unreliable,high,other:33;demographics:9;factor:5;WTP:3;behavior:3;awareness:2;open:2,single:33;multi:9;open:9;matrix:5;numeric:1,
tally_3Ele0q,ГИНЗА Бани. Опрос-исследование опыта использования банных комплексов и SPA центр,B2C Choice,fitness/wellness,,,453,49,Tally,raw_0043,/var/folders/y7/z20t7xkd2w7_cy1_ksrzxwxh0000gn/T/tally_export.zip::tally_export/ГИНЗА Бани. Опрос-исследование опыта использования банных комплексов и SPA центр [3Ele0q].csv,partly_reconstructed,high,other:20;WTP:7;demographics:5;scenario:3;barrier:3;channel:3;screening:2;behavior:2;factor:2;switching:1;frequency:1,single:18;matrix:17;open:6;multi:6;unknown:2,
tally_w4rGld,Муста Ярви,B2C Choice,unknown,,,214,40,Tally,raw_0044,/var/folders/y7/z20t7xkd2w7_cy1_ksrzxwxh0000gn/T/tally_export.zip::tally_export/Муста Ярви [w4rGld].csv,verified,medium,other:28;screening:2;consideration:2;demographics:2;WTP:2;factor:2;frequency:1;awareness:1,single:29;open:5;unknown:3;multi:2;numeric:1,
tally_w72GRP,Анкета НЕклиентов Печорин,B2C Choice,unknown,,,200,41,Tally,raw_0045,/var/folders/y7/z20t7xkd2w7_cy1_ksrzxwxh0000gn/T/tally_export.zip::tally_export/Анкета НЕклиентов Печорин [w72GRP].csv,partly_reconstructed,medium,other:41,open:36;single:3;multi:2,
survey_e5dd2ce96ea5,anketolog-report-2132990-survey-1035748-dinastiya-s-neklientyi-L60lTZ.xlsx,B2C Choice,unknown,,,203,20,XLSX,raw_0046,/var/folders/y7/z20t7xkd2w7_cy1_ksrzxwxh0000gn/T/Опросы.zip::Опросы/anketolog-report-2132990-survey-1035748-dinastiya-s-neklientyi-L60lTZ.xlsx,verified,medium,other:20,open:9;single:9;numeric:1;unknown:1,duplicate_raw:raw_0079
survey_674b0a7f7320,anketolog-report-2082085-survey-998428-santerra-anketa-dlya-neklientov-xpDLQd.xlsx,B2C Choice,unknown,,,65,22,XLSX,raw_0047,/var/folders/y7/z20t7xkd2w7_cy1_ksrzxwxh0000gn/T/Опросы.zip::Опросы/anketolog-report-2082085-survey-998428-santerra-anketa-dlya-neklientov-xpDLQd.xlsx,verified,low,other:22,single:14;open:6;numeric:1;unknown:1,duplicate_raw:raw_0080
survey_29b4c05c8650,anketolog-report-2116057-survey-1020398-mts21-oprosyi-neklientov-5SVfOs.xlsx,B2C Choice,unknown,,,38,19,XLSX,raw_0048,/var/folders/y7/z20t7xkd2w7_cy1_ksrzxwxh0000gn/T/Опросы.zip::Опросы/anketolog-report-2116057-survey-1020398-mts21-oprosyi-neklientov-5SVfOs.xlsx,verified,low,other:19,single:11;open:6;numeric:1;unknown:1,duplicate_raw:raw_0081
survey_ad67d09c1eb7,anketolog-report-2120048-survey-1029416-abrau-resvera-H1kZUY.xlsx,B2C Choice,unknown,,,386,25,XLSX,raw_0049,/var/folders/y7/z20t7xkd2w7_cy1_ksrzxwxh0000gn/T/Опросы.zip::Опросы/anketolog-report-2120048-survey-1029416-abrau-resvera-H1kZUY.xlsx,verified,medium,other:25,single:17;open:6;numeric:1;unknown:1,duplicate_raw:raw_0082
survey_ad2f73b59804,anketolog-report-2115153-survey-1027170-opros-o-ryinke-materialov-dlya-naruzhnoy-otdelki-doma-8TyLIA.xlsx,B2C Choice,unknown,,,204,23,XLSX,raw_0050,/var/folders/y7/z20t7xkd2w7_cy1_ksrzxwxh0000gn/T/Опросы.zip::Опросы/anketolog-report-2115153-survey-1027170-opros-o-ryinke-materialov-dlya-naruzhnoy-otdelki-doma-8TyLIA.xlsx,verified,medium,other:23,single:16;open:5;numeric:1;unknown:1,duplicate_raw:raw_0083
survey_43ea0df69e2b,anketolog-report-2082093-survey-998603-santerra-anketa-dlya-neklientov-detskoe-napravlenie-HPaDeR.xlsx,B2C Choice,unknown,,,27,18,XLSX,raw_0051,/var/folders/y7/z20t7xkd2w7_cy1_ksrzxwxh0000gn/T/Опросы.zip::Опросы/anketolog-report-2082093-survey-998603-santerra-anketa-dlya-neklientov-detskoe-napravlenie-HPaDeR.xlsx,verified,low,other:18,single:10;open:6;numeric:1;unknown:1,duplicate_raw:raw_0084
survey_bc0520ed7d73,anketolog-report-2112290-survey-1024509-opros-o-sportivnoy-odezhde-iGDRe8.xlsx,B2C Choice,unknown,,,252,23,XLSX,raw_0052,/var/folders/y7/z20t7xkd2w7_cy1_ksrzxwxh0000gn/T/Опросы.zip::Опросы/anketolog-report-2112290-survey-1024509-opros-o-sportivnoy-odezhde-iGDRe8.xlsx,verified,medium,other:23,single:16;open:5;numeric:1;unknown:1,duplicate_raw:raw_0085
survey_fd764cf4ae87,anketolog-report-2114014-survey-1024967-mrtts-anketa-po-neklientam-Byz45j.xlsx,B2C Choice,unknown,,,206,16,XLSX,raw_0053,/var/folders/y7/z20t7xkd2w7_cy1_ksrzxwxh0000gn/T/Опросы.zip::Опросы/anketolog-report-2114014-survey-1024967-mrtts-anketa-po-neklientam-Byz45j.xlsx,verified,medium,other:16,single:8;open:6;numeric:1;unknown:1,duplicate_raw:raw_0086
survey_697c1c20d0e2,anketolog-report-2127383-survey-1034677-myasnoy-gurman-klientyi-fDTudo.xlsx,B2C Choice,unknown,,,4,13,XLSX,raw_0054,/var/folders/y7/z20t7xkd2w7_cy1_ksrzxwxh0000gn/T/Опросы.zip::Опросы/anketolog-report-2127383-survey-1034677-myasnoy-gurman-klientyi-fDTudo.xlsx,verified,low,other:13,single:9;unknown:2;numeric:1;multi:1,duplicate_raw:raw_0087
survey_ba7340497413,anketolog-report-2129034-survey-1030508-myasnoy-gurman-neklientyi-85oN66.xlsx,B2C Choice,food/FMCG,,,203,14,XLSX,raw_0055,/var/folders/y7/z20t7xkd2w7_cy1_ksrzxwxh0000gn/T/Опросы.zip::Опросы/anketolog-report-2129034-survey-1030508-myasnoy-gurman-neklientyi-85oN66.xlsx,verified,high,other:14,single:7;open:5;numeric:1;unknown:1,duplicate_raw:raw_0088 direct_meat_sausage_analog; anketolog_page-columns_need_question_recovery
survey_365d8aa88808,anketolog-report-2089110-survey-1007883-biotehnologicheskie-produktyi-pitaniya-jclaRC.xlsx,B2C Choice,unknown,,,204,21,XLSX,raw_0056,/var/folders/y7/z20t7xkd2w7_cy1_ksrzxwxh0000gn/T/Опросы.zip::Опросы/anketolog-report-2089110-survey-1007883-biotehnologicheskie-produktyi-pitaniya-jclaRC.xlsx,verified,medium,other:21,single:14;open:5;numeric:1;unknown:1,duplicate_raw:raw_0089
survey_b88258a199df,Опрос_по_М_L7AgzR4d7KSePzw6S37yxQ_2026-6-4.xlsx,B2C Choice,unknown,,,373,9,XLSX,raw_0057,/var/folders/y7/z20t7xkd2w7_cy1_ksrzxwxh0000gn/T/Archive 2.zip::Опрос_по_М_L7AgzR4d7KSePzw6S37yxQ_2026-6-4.xlsx,verified,medium,other:9,numeric:5;single:2;open:2,
survey_ab48417e3e8f,Анкета_для_49hTEA8ECzCcDTM8rFDQz8_2026-6-4.xlsx,B2C Choice,unknown,,,497,9,XLSX,raw_0058,/var/folders/y7/z20t7xkd2w7_cy1_ksrzxwxh0000gn/T/Archive 2.zip::Анкета_для_49hTEA8ECzCcDTM8rFDQz8_2026-6-4.xlsx,verified,medium,other:9,numeric:5;single:2;open:2,
survey_b8c0f3bb60f5,Копия_Опро_PPCNUFC99GtazhfrXBAMAq_2026-6-4.xlsx,B2C Choice,unknown,,,416,9,XLSX,raw_0059,/var/folders/y7/z20t7xkd2w7_cy1_ksrzxwxh0000gn/T/Archive 2.zip::Копия_Опро_PPCNUFC99GtazhfrXBAMAq_2026-6-4.xlsx,verified,medium,other:9,numeric:5;single:2;open:2,
survey_b20b16ad58c4,Азбука_вку_LtcrBwtUAmW8DSiiyWckut_2026-6-4.xlsx,B2C Choice,unknown,,,569,9,XLSX,raw_0060,/var/folders/y7/z20t7xkd2w7_cy1_ksrzxwxh0000gn/T/Archive 2.zip::Азбука_вку_LtcrBwtUAmW8DSiiyWckut_2026-6-4.xlsx,verified,medium,other:9,numeric:5;single:2;open:2,
survey_25d7c035b36b,EN_от_28.0_4YQbF9gQQCyBbcVhcnFn3Z_2026-6-4.xlsx,B2C Choice,unknown,,,352,9,XLSX,raw_0061,/var/folders/y7/z20t7xkd2w7_cy1_ksrzxwxh0000gn/T/Archive 2.zip::EN_от_28.0_4YQbF9gQQCyBbcVhcnFn3Z_2026-6-4.xlsx,verified,medium,other:9,numeric:5;single:2;open:2,
survey_d560fdc6f952,Продвинуты_C5nXHBCxWNrKk1MRaPZRyG_2026-6-4.xlsx,B2C Choice,unknown,,,522,9,XLSX,raw_0062,/var/folders/y7/z20t7xkd2w7_cy1_ksrzxwxh0000gn/T/Archive 2.zip::Продвинуты_C5nXHBCxWNrKk1MRaPZRyG_2026-6-4.xlsx,verified,medium,other:9,numeric:5;single:2;open:2,
survey_d539d407c329,Опрос_про__4jqZWZQJ5pskW2unUStzkF_2026-6-4.xlsx,B2C Choice,unknown,,,575,9,XLSX,raw_0063,/var/folders/y7/z20t7xkd2w7_cy1_ksrzxwxh0000gn/T/Archive 2.zip::Опрос_про__4jqZWZQJ5pskW2unUStzkF_2026-6-4.xlsx,verified,medium,other:9,numeric:5;single:2;open:2,
