issue_id,survey_id,question_id,issue_type,severity,description,action
ri_e4c2fa9b96e2,tally_wM5zyg,q_e4c2fa9b96e2,unreliable_or_reconstructed_question,high,Question label or answer mapping is not fully reliable.,request Tally form schema / export with readable labels
ri_a77fe0d0f060,tally_wM5zyg,q_a77fe0d0f060,unreliable_or_reconstructed_question,high,Question label or answer mapping is not fully reliable.,request Tally form schema / export with readable labels
ri_ae8970a1c48b,tally_wM5zyg,q_ae8970a1c48b,unreliable_or_reconstructed_question,high,Question label or answer mapping is not fully reliable.,request Tally form schema / export with readable labels
ri_218e9af1201f,tally_wM5zyg,q_218e9af1201f,unreliable_or_reconstructed_question,high,Question label or answer mapping is not fully reliable.,request Tally form schema / export with readable labels
ri_20682c466a65,tally_wM5zyg,q_20682c466a65,unreliable_or_reconstructed_question,high,Question label or answer mapping is not fully reliable.,request Tally form schema / export with readable labels
ri_b5454bc0adb2,tally_wM5zyg,q_b5454bc0adb2,unreliable_or_reconstructed_question,high,Question label or answer mapping is not fully reliable.,request Tally form schema / export with readable labels
ri_23a9694b1096,tally_wM5zyg,q_23a9694b1096,unreliable_or_reconstructed_question,high,Question label or answer mapping is not fully reliable.,request Tally form schema / export with readable labels
ri_6dabb49b4517,tally_wM5zyg,q_6dabb49b4517,matrix_uuid_or_unreadable_label,medium,Question/answers need original form schema before reliable metrics/clustering.,request Tally form schema / export with readable labels
ri_1dd0af988715,tally_wM5zyg,q_1dd0af988715,matrix_uuid_or_unreadable_label,medium,Question/answers need original form schema before reliable metrics/clustering.,request Tally form schema / export with readable labels
ri_456a28ac06f1,tally_wM5zyg,q_456a28ac06f1,matrix_uuid_or_unreadable_label,medium,Question/answers need original form schema before reliable metrics/clustering.,request Tally form schema / export with readable labels
ri_7f304b4bdcde,tally_wM5zyg,q_7f304b4bdcde,unreliable_or_reconstructed_question,high,Question label or answer mapping is not fully reliable.,request Tally form schema / export with readable labels
ri_5ec6659d177a,tally_wM5zyg,q_5ec6659d177a,unreliable_or_reconstructed_question,high,Question label or answer mapping is not fully reliable.,request Tally form schema / export with readable labels
ri_3f4da61f4d72,tally_wM5zyg,q_3f4da61f4d72,unreliable_or_reconstructed_question,high,Question label or answer mapping is not fully reliable.,request Tally form schema / export with readable labels
ri_0447d3cf2d2c,tally_wM5zyg,q_0447d3cf2d2c,unreliable_or_reconstructed_question,high,Question label or answer mapping is not fully reliable.,request Tally form schema / export with readable labels
ri_30926f5fc45d,tally_wM5zyg,q_30926f5fc45d,unreliable_or_reconstructed_question,high,Question label or answer mapping is not fully reliable.,request Tally form schema / export with readable labels
ri_a24ea8f43ce5,tally_wM5zyg,q_a24ea8f43ce5,unreliable_or_reconstructed_question,high,Question label or answer mapping is not fully reliable.,request Tally form schema / export with readable labels
ri_97cfd7b26bd5,tally_wM5zyg,q_97cfd7b26bd5,unreliable_or_reconstructed_question,high,Question label or answer mapping is not fully reliable.,request Tally form schema / export with readable labels
ri_4206c33029e4,tally_wM5zyg,q_4206c33029e4,unreliable_or_reconstructed_question,high,Question label or answer mapping is not fully reliable.,request Tally form schema / export with readable labels
ri_3a7190a2942b,tally_wM5zyg,q_3a7190a2942b,matrix_uuid_or_unreadable_label,high,Question/answers need original form schema before reliable metrics/clustering.,request Tally form schema / export with readable labels
ri_1a664c015503,tally_wM5zyg,q_1a664c015503,matrix_uuid_or_unreadable_label,high,Question/answers need original form schema before reliable metrics/clustering.,request Tally form schema / export with readable labels
ri_c180b109f0c6,tally_wM5zyg,q_c180b109f0c6,unreliable_or_reconstructed_question,high,Question label or answer mapping is not fully reliable.,request Tally form schema / export with readable labels
ri_abe383211fbc,tally_wM5zyg,q_abe383211fbc,unreliable_or_reconstructed_question,high,Question label or answer mapping is not fully reliable.,request Tally form schema / export with readable labels
ri_226230728aba,tally_wM5zyg,q_226230728aba,unreliable_or_reconstructed_question,high,Question label or answer mapping is not fully reliable.,request Tally form schema / export with readable labels
ri_90d1fc684707,tally_wM5zyg,q_90d1fc684707,unreliable_or_reconstructed_question,high,Question label or answer mapping is not fully reliable.,request Tally form schema / export with readable labels
ri_cb27844aad75,tally_wM5zyg,q_cb27844aad75,unreliable_or_reconstructed_question,high,Question label or answer mapping is not fully reliable.,request Tally form schema / export with readable labels
ri_8c8d1730af12,tally_wM5zyg,q_8c8d1730af12,unreliable_or_reconstructed_question,high,Question label or answer mapping is not fully reliable.,request Tally form schema / export with readable labels
ri_ac895ce4eba8,tally_wM5zyg,q_ac895ce4eba8,unreliable_or_reconstructed_question,high,Question label or answer mapping is not fully reliable.,request Tally form schema / export with readable labels
ri_501840b77030,tally_wM5zyg,q_501840b77030,unreliable_or_reconstructed_question,high,Question label or answer mapping is not fully reliable.,request Tally form schema / export with readable labels
ri_03e8c2b7617a,tally_wM5zyg,q_03e8c2b7617a,unreliable_or_reconstructed_question,high,Question label or answer mapping is not fully reliable.,request Tally form schema / export with readable labels
ri_9da6ae033885,tally_wM5zyg,q_9da6ae033885,unreliable_or_reconstructed_question,high,Question label or answer mapping is not fully reliable.,request Tally form schema / export with readable labels
ri_641a3828e9da,tally_wM5zyg,q_641a3828e9da,unreliable_or_reconstructed_question,high,Question label or answer mapping is not fully reliable.,request Tally form schema / export with readable labels
ri_2d69e1142569,tally_3yy174,q_2d69e1142569,matrix_uuid_or_unreadable_label,medium,Question/answers need original form schema before reliable metrics/clustering.,request Tally form schema / export with readable labels
ri_5ba7de93bcff,tally_wzZb98,q_5ba7de93bcff,unreliable_or_reconstructed_question,high,Question label or answer mapping is not fully reliable.,request Tally form schema / export with readable labels
ri_833c012d8862,tally_wzZb98,q_833c012d8862,unreliable_or_reconstructed_question,high,Question label or answer mapping is not fully reliable.,request Tally form schema / export with readable labels
ri_b477309ae9bb,tally_wzZb98,q_b477309ae9bb,matrix_uuid_or_unreadable_label,medium,Question/answers need original form schema before reliable metrics/clustering.,request Tally form schema / export with readable labels
ri_b135e18eb2a4,tally_wzZb98,q_b135e18eb2a4,unreliable_or_reconstructed_question,high,Question label or answer mapping is not fully reliable.,request Tally form schema / export with readable labels
ri_5d7a8f1fafec,tally_wzZb98,q_5d7a8f1fafec,matrix_uuid_or_unreadable_label,medium,Question/answers need original form schema before reliable metrics/clustering.,request Tally form schema / export with readable labels
ri_0b31d3f8ce5c,tally_wzZb98,q_0b31d3f8ce5c,matrix_uuid_or_unreadable_label,high,Question/answers need original form schema before reliable metrics/clustering.,request Tally form schema / export with readable labels
ri_6f3860d42ddd,tally_wzZb98,q_6f3860d42ddd,matrix_uuid_or_unreadable_label,high,Question/answers need original form schema before reliable metrics/clustering.,request Tally form schema / export with readable labels
ri_318a438f41b6,tally_wzZb98,q_318a438f41b6,matrix_uuid_or_unreadable_label,high,Question/answers need original form schema before reliable metrics/clustering.,request Tally form schema / export with readable labels
ri_416ad4dcc3b1,tally_wzZb98,q_416ad4dcc3b1,matrix_uuid_or_unreadable_label,high,Question/answers need original form schema before reliable metrics/clustering.,request Tally form schema / export with readable labels
ri_1c0c8f194c7c,tally_wzZb98,q_1c0c8f194c7c,matrix_uuid_or_unreadable_label,high,Question/answers need original form schema before reliable metrics/clustering.,request Tally form schema / export with readable labels
ri_49fda98820d9,tally_wzZb98,q_49fda98820d9,matrix_uuid_or_unreadable_label,high,Question/answers need original form schema before reliable metrics/clustering.,request Tally form schema / export with readable labels
ri_1c68026d9010,tally_wzZb98,q_1c68026d9010,matrix_uuid_or_unreadable_label,medium,Question/answers need original form schema before reliable metrics/clustering.,request Tally form schema / export with readable labels
ri_c60fdecc8653,tally_wzZb98,q_c60fdecc8653,matrix_uuid_or_unreadable_label,medium,Question/answers need original form schema before reliable metrics/clustering.,request Tally form schema / export with readable labels
ri_d8d5e5a38908,tally_wzZb98,q_d8d5e5a38908,unreliable_or_reconstructed_question,high,Question label or answer mapping is not fully reliable.,request Tally form schema / export with readable labels
ri_eeedcb7785d6,tally_wzZb98,q_eeedcb7785d6,unreliable_or_reconstructed_question,high,Question label or answer mapping is not fully reliable.,request Tally form schema / export with readable labels
ri_06ba5b71aee6,tally_wzZb98,q_06ba5b71aee6,unreliable_or_reconstructed_question,high,Question label or answer mapping is not fully reliable.,request Tally form schema / export with readable labels
ri_4367d6e5d625,tally_wzZb98,q_4367d6e5d625,unreliable_or_reconstructed_question,high,Question label or answer mapping is not fully reliable.,request Tally form schema / export with readable labels
ri_410ed0217c16,tally_wzZb98,q_410ed0217c16,unreliable_or_reconstructed_question,high,Question label or answer mapping is not fully reliable.,request Tally form schema / export with readable labels
ri_efeccdce3097,tally_wzZb98,q_efeccdce3097,unreliable_or_reconstructed_question,high,Question label or answer mapping is not fully reliable.,request Tally form schema / export with readable labels
ri_a4197d82b680,tally_wzZb98,q_a4197d82b680,unreliable_or_reconstructed_question,high,Question label or answer mapping is not fully reliable.,request Tally form schema / export with readable labels
ri_c2a03a18bb76,tally_wzZb98,q_c2a03a18bb76,unreliable_or_reconstructed_question,high,Question label or answer mapping is not fully reliable.,request Tally form schema / export with readable labels
ri_a1760cca3e5a,tally_wzZb98,q_a1760cca3e5a,unreliable_or_reconstructed_question,high,Question label or answer mapping is not fully reliable.,request Tally form schema / export with readable labels
ri_71bcd518e1b8,tally_3NXzGp,q_71bcd518e1b8,unreliable_or_reconstructed_question,high,Question label or answer mapping is not fully reliable.,request Tally form schema / export with readable labels
ri_ee740120bef7,tally_3NXzGp,q_ee740120bef7,matrix_uuid_or_unreadable_label,medium,Question/answers need original form schema before reliable metrics/clustering.,request Tally form schema / export with readable labels
ri_a078ca1b5f80,tally_3NXzGp,q_a078ca1b5f80,matrix_uuid_or_unreadable_label,medium,Question/answers need original form schema before reliable metrics/clustering.,request Tally form schema / export with readable labels
ri_a27038504ea3,tally_3E0QYq,q_a27038504ea3,unreliable_or_reconstructed_question,high,Question label or answer mapping is not fully reliable.,request Tally form schema / export with readable labels
ri_11918aca062b,tally_3E0QYq,q_11918aca062b,unreliable_or_reconstructed_question,high,Question label or answer mapping is not fully reliable.,request Tally form schema / export with readable labels
ri_e1e8f2d58cc7,tally_3E0QYq,q_e1e8f2d58cc7,unreliable_or_reconstructed_question,high,Question label or answer mapping is not fully reliable.,request Tally form schema / export with readable labels
ri_23bd7ebe45bd,tally_3E0QYq,q_23bd7ebe45bd,unreliable_or_reconstructed_question,high,Question label or answer mapping is not fully reliable.,request Tally form schema / export with readable labels
ri_7f98478f96bf,tally_3E0QYq,q_7f98478f96bf,unreliable_or_reconstructed_question,high,Question label or answer mapping is not fully reliable.,request Tally form schema / export with readable labels
ri_015036f92dc1,tally_3E0QYq,q_015036f92dc1,unreliable_or_reconstructed_question,high,Question label or answer mapping is not fully reliable.,request Tally form schema / export with readable labels
ri_fc590334ccaf,tally_3E0QYq,q_fc590334ccaf,unreliable_or_reconstructed_question,high,Question label or answer mapping is not fully reliable.,request Tally form schema / export with readable labels
ri_9b2dc8cb76b7,tally_3E0QYq,q_9b2dc8cb76b7,unreliable_or_reconstructed_question,high,Question label or answer mapping is not fully reliable.,request Tally form schema / export with readable labels
ri_fd499952ffae,tally_3E0QYq,q_fd499952ffae,unreliable_or_reconstructed_question,high,Question label or answer mapping is not fully reliable.,request Tally form schema / export with readable labels
ri_1013e2871857,tally_3E0QYq,q_1013e2871857,unreliable_or_reconstructed_question,high,Question label or answer mapping is not fully reliable.,request Tally form schema / export with readable labels
ri_84729e57e355,tally_3E0QYq,q_84729e57e355,matrix_uuid_or_unreadable_label,medium,Question/answers need original form schema before reliable metrics/clustering.,request Tally form schema / export with readable labels
ri_20996c9310b3,tally_3E0QYq,q_20996c9310b3,matrix_uuid_or_unreadable_label,medium,Question/answers need original form schema before reliable metrics/clustering.,request Tally form schema / export with readable labels
ri_0e4ae5d2d001,tally_3E0QYq,q_0e4ae5d2d001,matrix_uuid_or_unreadable_label,medium,Question/answers need original form schema before reliable metrics/clustering.,request Tally form schema / export with readable labels
ri_f2aba2d45002,tally_3E0QYq,q_f2aba2d45002,unreliable_or_reconstructed_question,high,Question label or answer mapping is not fully reliable.,request Tally form schema / export with readable labels
ri_afebaef17f4b,tally_3E0QYq,q_afebaef17f4b,unreliable_or_reconstructed_question,high,Question label or answer mapping is not fully reliable.,request Tally form schema / export with readable labels
ri_3ca861e3caf9,tally_3E0QYq,q_3ca861e3caf9,unreliable_or_reconstructed_question,high,Question label or answer mapping is not fully reliable.,request Tally form schema / export with readable labels
