pattern_id,survey_id,input_signal,slide_type,example_title,reuse_condition
sp_da636d60b6a1,tally_mYWglz,factor,factor hierarchy,"factor hierarchy: 34. Оцените по 10-бальной шкале, с какой вероятностью Вы бы порекомендовали пека",Use for B2C Choice / food/FMCG when factor is decision-relevant.
sp_d1fbff76064d,tally_wdAOjN,barrier,barrier map,barrier map: Почему вы не покупаете?,Use for B2C Choice / food/FMCG when barrier is decision-relevant.
sp_97cd45d6e66a,tally_wdAOjN,barrier,barrier map,barrier map: По каким причинам вы покупаете ?,Use for B2C Choice / food/FMCG when barrier is decision-relevant.
sp_5b606134cfa1,tally_wdAOjN,factor,factor hierarchy,"factor hierarchy: Оцените от 1 до 5 важность факторов выбора магазинов спортивного питания, где 1 ",Use for B2C Choice / food/FMCG when factor is decision-relevant.
sp_2435d3dddc8f,tally_wdAOjN,channel,channel/trust map,channel/trust map: Через какие каналы вы впервые узнали о БАДах?,Use for B2C Choice / food/FMCG when channel is decision-relevant.
sp_0e0a02ac6625,tally_wdAOjN,channel,channel/trust map,channel/trust map: Через какие каналы вы ищете конкретные БАДы для покупки?,Use for B2C Choice / food/FMCG when channel is decision-relevant.
sp_9714a02b3262,tally_wdAOjN,channel,channel/trust map,channel/trust map: Почему вы покупаете именно на маркетплейсах?,Use for B2C Choice / food/FMCG when channel is decision-relevant.
sp_6ea0d98678be,tally_wdAOjN,channel,channel/trust map,channel/trust map: Какие спортивные магазины спортпита и БАДов вы знаете?,Use for B2C Choice / food/FMCG when channel is decision-relevant.
sp_7f0f969f3830,tally_wdAOjN,channel,channel/trust map,channel/trust map: Какие спортивные магазины спортпита и БАДов вы покупаете?,Use for B2C Choice / food/FMCG when channel is decision-relevant.
sp_e7747d2cd113,tally_wdAOjN,channel,channel/trust map,channel/trust map: Какие спортивные магазины спортпита и БАДов вы считаете лучшими?,Use for B2C Choice / food/FMCG when channel is decision-relevant.
sp_6d87436e5307,tally_wdAOjN,channel,channel/trust map,"channel/trust map: Какие магазины спортивного питания, на ваш взгляд, продают по самым доступным це",Use for B2C Choice / food/FMCG when channel is decision-relevant.
sp_0449d6616408,tally_wdAOjN,channel,channel/trust map,"channel/trust map: Какие магазины спортивного питания, на ваш взгляд, обладают самым широким ассорт",Use for B2C Choice / food/FMCG when channel is decision-relevant.
sp_211bdff74d68,tally_wdAOjN,channel,channel/trust map,"channel/trust map: Какие магазины спортивного питания, на ваш взгляд, всегда имеют товары, которых ",Use for B2C Choice / food/FMCG when channel is decision-relevant.
sp_0475053e6075,tally_wdAOjN,channel,channel/trust map,channel/trust map: В каких магазинах спортивного питания самые профессиональные продавцы/самые удоб,Use for B2C Choice / food/FMCG when channel is decision-relevant.
sp_d61d6a21184f,tally_wdAOjN,channel,channel/trust map,"channel/trust map: В каких магазинах спортивного питания, на ваш взгляд, самые компетентные фармаце",Use for B2C Choice / food/FMCG when channel is decision-relevant.
sp_e2c4c5853059,tally_wdAOjN,channel,channel/trust map,"channel/trust map: В каких магазинах, на ваш взгляд, самое быстрое обслуживание/самая быстрая доста",Use for B2C Choice / food/FMCG when channel is decision-relevant.
sp_f12e3dd7c23d,tally_wdAOjN,frequency,behavior baseline,behavior baseline: Как часто вы покупаете спортивное питание/Бады/витамины/добавки?,Use for B2C Choice / food/FMCG when frequency is decision-relevant.
sp_225ccc356e41,tally_wdAOjN,WTP,price ladder,price ladder: Сколько вы в среднем тратите на 1 покупку спортивного питание/БАДов/витаминов/до,Use for B2C Choice / food/FMCG when WTP is decision-relevant.
sp_dce1e667d0e0,tally_wdAOjN,behavior,behavior baseline,behavior baseline: Кому вы покупаете спортивное питание/Бады/витамины/добавки?,Use for B2C Choice / food/FMCG when behavior is decision-relevant.
sp_c0fb4e94e9c6,tally_wdAOjN,barrier,barrier map,"barrier map: Бросаете ли вы принимать раньше времени? Если да, то по какой причине?",Use for B2C Choice / food/FMCG when barrier is decision-relevant.
sp_318653db1102,tally_wdAOjN,factor,factor hierarchy,"factor hierarchy: Оцените по 10-бальной шкале, с какой вероятностью вы порекомендуете своим друзья",Use for B2C Choice / food/FMCG when factor is decision-relevant.
sp_4c333a0dac0b,tally_mKLDog,behavior,behavior baseline,behavior baseline: 3. Что вы покупали у HyperPC?,Use for B2C Choice / home/electronics when behavior is decision-relevant.
sp_4e8c87529a6b,tally_mKLDog,scenario,JTBD map,JTBD map: Укажите цель покупки,Use for B2C Choice / home/electronics when scenario is decision-relevant.
sp_41c14d40dc8a,tally_mKLDog,barrier,barrier map,barrier map: 14. По какой причине захотели обновить/купить компьютер?,Use for B2C Choice / home/electronics when barrier is decision-relevant.
sp_b4c3068198ef,tally_mKLDog,barrier,barrier map,barrier map: Причина покупки ПК,Use for B2C Choice / home/electronics when barrier is decision-relevant.
sp_9f308ab42873,tally_mKLDog,barrier,barrier map,barrier map: 15. По какой причине вы приобретали новую периферию/мебель?,Use for B2C Choice / home/electronics when barrier is decision-relevant.
sp_03399bee5add,tally_mKLDog,barrier,barrier map,barrier map: Причина покупки периферии,Use for B2C Choice / home/electronics when barrier is decision-relevant.
sp_614d1babe502,tally_mKLDog,barrier,barrier map,barrier map: 16. По какой причине вы покупали новые комплектующие?,Use for B2C Choice / home/electronics when barrier is decision-relevant.
sp_a05fb6f1ee96,tally_mKLDog,barrier,barrier map,barrier map: Причина покупки комплектующих,Use for B2C Choice / home/electronics when barrier is decision-relevant.
sp_c6c344b89f2f,tally_mKLDog,barrier,barrier map,barrier map: 17. По какой причине вы покупали услуги?,Use for B2C Choice / home/electronics when barrier is decision-relevant.
sp_999e39dabd43,tally_mKLDog,barrier,barrier map,barrier map: Причина обслуживания ПК,Use for B2C Choice / home/electronics when barrier is decision-relevant.
sp_96a2ea9b4b9a,tally_mKLDog,factor,factor hierarchy,factor hierarchy: 19. Оцените от 1 до 5 важность факторов выбора места покупки компьютеров (где 1 ,Use for B2C Choice / home/electronics when factor is decision-relevant.
sp_b3522dc92168,tally_mKLDog,factor,factor hierarchy,factor hierarchy: 20. Оцените от 1 до 5 важность факторов выбора компьютера/комплектующих/мебели/п,Use for B2C Choice / home/electronics when factor is decision-relevant.
sp_0e42290ccf87,tally_mKLDog,channel,channel/trust map,channel/trust map: 23. Где вы оформляли заказ?,Use for B2C Choice / home/electronics when channel is decision-relevant.
sp_94a13ef21c6e,tally_mKLDog,channel,channel/trust map,channel/trust map: 30. Как вы узнаете о подобных компаниях?,Use for B2C Choice / home/electronics when channel is decision-relevant.
sp_24010dbc8e81,tally_mKLDog,channel,channel/trust map,channel/trust map: Укажите как узнаете,Use for B2C Choice / home/electronics when channel is decision-relevant.
sp_87ab49d2a6e3,tally_mKLDog,trust,QFD,"QFD: 36. Какая компания, из известных вам, может предложить наивысшее качество обслуж",Use for B2C Choice / home/electronics when trust is decision-relevant.
sp_dd23dcfb1cd9,tally_wg9kZl,barrier,barrier map,barrier map: По какой причине вы не употребляете замороженную продукцию?,Use for B2C Choice / food/FMCG when barrier is decision-relevant.
sp_9f576e9870e0,tally_wg9kZl,behavior,behavior baseline,behavior baseline: Какой вид замороженной продукции вы едите чаще всего?,Use for B2C Choice / food/FMCG when behavior is decision-relevant.
sp_853c8bca7150,tally_wg9kZl,behavior,behavior baseline,behavior baseline: Какой вид ягод вы едите чаще всего?,Use for B2C Choice / food/FMCG when behavior is decision-relevant.
sp_2096a4183f17,tally_wg9kZl,behavior,behavior baseline,behavior baseline: Какой вид грибов вы едите чаще всего?,Use for B2C Choice / food/FMCG when behavior is decision-relevant.
sp_f7458f9c5e4b,tally_wg9kZl,behavior,behavior baseline,behavior baseline: Какой вид овощных заморозок вы едите чаще всего?,Use for B2C Choice / food/FMCG when behavior is decision-relevant.
sp_c74c201146ff,tally_wg9kZl,behavior,behavior baseline,behavior baseline: В каком формате вы чаще всего приобретаете ягоды?,Use for B2C Choice / food/FMCG when behavior is decision-relevant.
sp_ecfabe4c0e1b,tally_wg9kZl,scenario,JTBD map,"JTBD map: 10. Для каких целей вы, как правило, покупаете замороженные ягоды/овощи/грибы?",Use for B2C Choice / food/FMCG when scenario is decision-relevant.
sp_fe434466748c,tally_wg9kZl,scenario,JTBD map,"JTBD map: 11. Для каких блюд/напитков вы приобретаете замороженную продукцию (ягоды, овощи",Use for B2C Choice / food/FMCG when scenario is decision-relevant.
sp_d6c252d7c146,tally_wg9kZl,WTP,price ladder,price ladder: Насколько часто вы покупаете замороженные ягоды?,Use for B2C Choice / food/FMCG when WTP is decision-relevant.
sp_06f76313f014,tally_wg9kZl,WTP,price ladder,price ladder: Насколько часто вы покупаете замороженные овощи?,Use for B2C Choice / food/FMCG when WTP is decision-relevant.
sp_8b629fa67887,tally_wg9kZl,WTP,price ladder,price ladder: Насколько часто вы покупаете замороженные грибы?,Use for B2C Choice / food/FMCG when WTP is decision-relevant.
sp_ac84c7b931ec,tally_wg9kZl,trust,QFD,"QFD: 12. Часто ли вы обращаете внимание на состав замороженной продукции, которые вы ",Use for B2C Choice / food/FMCG when trust is decision-relevant.
sp_2a44ec8260f1,tally_wg9kZl,behavior,behavior baseline,behavior baseline: 13. В каком формате вы приобретаете замороженную продукцию?,Use for B2C Choice / food/FMCG when behavior is decision-relevant.
sp_6cc3d384d60a,tally_wg9kZl,scenario,JTBD map,"JTBD map: 14. Давайте представим ситуацию, что вы пришли в магазин для покупки замороженно",Use for B2C Choice / food/FMCG when scenario is decision-relevant.
sp_42d94213cb40,tally_wg9kZl,frequency,behavior baseline,"behavior baseline: 15. Как Вы поступите, если в наличии не будет замороженной продукции, которую вы",Use for B2C Choice / food/FMCG when frequency is decision-relevant.
sp_0d861478f98f,tally_wg9kZl,channel,channel/trust map,"channel/trust map: 16. Если вы узнаете, что у любимого бренда появился новый вид/новая линейка прод",Use for B2C Choice / food/FMCG when channel is decision-relevant.
sp_42b6bc57cd24,tally_wg9kZl,channel,channel/trust map,channel/trust map: 19. Как вы узнаете о новых вкусах/новых линейках замороженной продукции?,Use for B2C Choice / food/FMCG when channel is decision-relevant.
sp_fba059344b82,tally_wg9kZl,behavior,behavior baseline,behavior baseline: 21. Какую продукцию из ягод вы еще употребляете?,Use for B2C Choice / food/FMCG when behavior is decision-relevant.
sp_6dbf1de30727,tally_wg9kZl,behavior,behavior baseline,behavior baseline: 22. Какую кондитерскую продукцию из ягод вы употребляете?,Use for B2C Choice / food/FMCG when behavior is decision-relevant.
sp_add64ccf4021,tally_wg9kZl,factor,factor hierarchy,"factor hierarchy: 25. Оцените от 1 до 5 важность факторов выбора замороженной продукции, где 1 – э",Use for B2C Choice / food/FMCG when factor is decision-relevant.
sp_55d52a104aa9,tally_wg9kZl,channel,channel/trust map,channel/trust map: 27. Какая группа продуктов является основной статьей расхода в продуктовом магаз,Use for B2C Choice / food/FMCG when channel is decision-relevant.
sp_e2d072473e6d,tally_wg9kZl,WTP,price ladder,price ladder: 29. Какой процент от общей суммы вы тратите на покупку замороженных ягод?,Use for B2C Choice / food/FMCG when WTP is decision-relevant.
sp_6b1a6d7d6f8e,tally_wg9kZl,WTP,price ladder,price ladder: 30. Какой процент от общей суммы вы тратите на покупку замороженных грибов?,Use for B2C Choice / food/FMCG when WTP is decision-relevant.
sp_2cefe52c98b0,tally_wg9kZl,WTP,price ladder,price ladder: 31. Какой процент от общей суммы вы тратите на покупку замороженных овощей?,Use for B2C Choice / food/FMCG when WTP is decision-relevant.
sp_78e84dc46e23,tally_wg9kZl,channel,channel/trust map,channel/trust map: 32. Где Вы приобретаете замороженную продукцию?,Use for B2C Choice / food/FMCG when channel is decision-relevant.
sp_14494b5d9248,tally_wg9kZl,channel,channel/trust map,channel/trust map: 33. Какие сетевые магазины вы посещаете чаще всего?,Use for B2C Choice / food/FMCG when channel is decision-relevant.
sp_5fd568971516,tally_wg9kZl,channel,channel/trust map,channel/trust map: 34. Через какие каналы коммуникации вы узнаете информацию о продуктах и фуд-нови,Use for B2C Choice / food/FMCG when channel is decision-relevant.
sp_da724d440bf8,tally_wg9kZl,awareness,brand funnel,brand funnel: 35. Какие бренды замороженных ягод/овощей вы знаете?,Use for B2C Choice / food/FMCG when awareness is decision-relevant.
sp_d1d39d4883cf,tally_wg9kZl,awareness,brand funnel,brand funnel: 36. Какие бренды замороженных ягод/овощей вы покупаете?,Use for B2C Choice / food/FMCG when awareness is decision-relevant.
sp_4ee20134edaf,tally_wg9kZl,awareness,brand funnel,brand funnel: 37. Какие бренды замороженных ягод/овощей вы считаете лучшими?,Use for B2C Choice / food/FMCG when awareness is decision-relevant.
sp_a807e8fb316e,tally_wg9kZl,frequency,behavior baseline,behavior baseline: 38. Какие бренды замороженных ягод/овощей покупаете регулярно?,Use for B2C Choice / food/FMCG when frequency is decision-relevant.
sp_e0eaf7e6b9af,tally_wg9kZl,barrier,barrier map,"barrier map: 39. Какие бренды замороженных ягод/овощей вы покупали, но перестали?",Use for B2C Choice / food/FMCG when barrier is decision-relevant.
sp_5f46a9d23c49,tally_wg9kZl,barrier,barrier map,"barrier map: 40. Укажите причины, по которым вы перестали их покупать?",Use for B2C Choice / food/FMCG when barrier is decision-relevant.
sp_6d48caa95562,tally_wg9kZl,WTP,price ladder,"price ladder: 41. Какие бренды замороженных ягод/овощей, на ваш взгляд, продаются по доступным",Use for B2C Choice / food/FMCG when WTP is decision-relevant.
sp_24d8ca28fdf1,tally_wg9kZl,awareness,brand funnel,"brand funnel: 42. Какие бренды замороженных ягод/овощей, на ваш взгляд, обладают необычном уни",Use for B2C Choice / food/FMCG when awareness is decision-relevant.
sp_adaec3174d88,tally_wg9kZl,awareness,brand funnel,"brand funnel: 43. Какие бренды замороженных ягод/овощей, на ваш взгляд, наиболее близки по вку",Use for B2C Choice / food/FMCG when awareness is decision-relevant.
sp_131e207c97bc,tally_wg9kZl,channel,channel/trust map,"channel/trust map: 44. Какие бренды замороженных ягод/овощей, на ваш взгляд, всегда легко найти в л",Use for B2C Choice / food/FMCG when channel is decision-relevant.
sp_5e99a8511413,tally_wg9kZl,awareness,brand funnel,"brand funnel: 46. Какие бренды замороженных ягод/овощей, на ваш взгляд, имеют самый интересный",Use for B2C Choice / food/FMCG when awareness is decision-relevant.
sp_ac594cbb1fb0,tally_wg9kZl,awareness,brand funnel,"brand funnel: 47. Какие бренды замороженных ягод/овощей, на ваш взгляд, являются самыми вкусны",Use for B2C Choice / food/FMCG when awareness is decision-relevant.
sp_7916d7b01c89,tally_wg9kZl,trust,QFD,QFD: 48. Какой бренд соответствует параметрам цена-качество?,Use for B2C Choice / food/FMCG when trust is decision-relevant.
sp_75018f8f407c,tally_mRPA74,barrier,barrier map,barrier map: 1.1 Какова Ваша основная причина посещения врача?,Use for B2C Choice / healthcare when barrier is decision-relevant.
sp_a556640b3138,tally_mRPA74,behavior,behavior baseline,behavior baseline: 1.2 Каким образом вы чаще всего приходите к пониманию необходимости посетить вра,Use for B2C Choice / healthcare when behavior is decision-relevant.
sp_53b91bdc4dd7,tally_mRPA74,barrier,barrier map,barrier map: 1.3 По каким причинам вы посещаете данный тип клиник?,Use for B2C Choice / healthcare when barrier is decision-relevant.
sp_89f3164b4af4,tally_mRPA74,frequency,behavior baseline,behavior baseline: 2.1. 	Как часто вы посещаете частные клиники?,Use for B2C Choice / healthcare when frequency is decision-relevant.
sp_6af980949390,tally_mRPA74,frequency,behavior baseline,behavior baseline: 2.2	С чем связана такая редкая частота посещения?,Use for B2C Choice / healthcare when frequency is decision-relevant.
