item_id,survey_id,category,factor_or_cluster,jtbd_hypothesis,evidence,confidence,reuse_scope
fj_f4c12f63b85c,tally_mKLDog,home/electronics,scenario/JTBD candidate,Use scenarios/occasions as JTBD bridge before naming clusters.,scenario question family present,MEDIUM,B2C Choice
fj_36efb3e7580e,tally_mKLDog,home/electronics,barrier candidate,"Barrier answers can split non-users, switchers, and low-conversion segments.",barrier question family present,MEDIUM,B2C Choice
fj_e60013ab082b,tally_wg9kZl,food/FMCG,choice-factor matrix candidate,Can generate factor hierarchy and k-means/JTBD if matrix labels are verified.,factor question family present,LOW,B2C Choice
fj_c94870e54a2b,tally_wg9kZl,food/FMCG,scenario/JTBD candidate,Use scenarios/occasions as JTBD bridge before naming clusters.,scenario question family present,MEDIUM,B2C Choice
fj_2297f074c091,tally_wg9kZl,food/FMCG,barrier candidate,"Barrier answers can split non-users, switchers, and low-conversion segments.",barrier question family present,MEDIUM,B2C Choice
fj_a26a7890cc85,tally_mRPA74,healthcare,choice-factor matrix candidate,Can generate factor hierarchy and k-means/JTBD if matrix labels are verified.,factor question family present,LOW,B2C Choice
fj_468b1b2b5dcb,tally_mRPA74,healthcare,scenario/JTBD candidate,Use scenarios/occasions as JTBD bridge before naming clusters.,scenario question family present,MEDIUM,B2C Choice
fj_93065fea4c60,tally_mRPA74,healthcare,barrier candidate,"Barrier answers can split non-users, switchers, and low-conversion segments.",barrier question family present,MEDIUM,B2C Choice
fj_cc7438ab5271,tally_wvPDzA,HR/EVP,scenario/JTBD candidate,Use scenarios/occasions as JTBD bridge before naming clusters.,scenario question family present,MEDIUM,Internal Employee
fj_bc400a41c0c7,tally_wM5zyg,auto/mobility,choice-factor matrix candidate,Can generate factor hierarchy and k-means/JTBD if matrix labels are verified.,factor question family present,LOW,B2C Choice
fj_8e17b1db89e3,tally_3yy174,HR/EVP,choice-factor matrix candidate,Can generate factor hierarchy and k-means/JTBD if matrix labels are verified.,factor question family present,LOW,Internal Employee
fj_b595b256561d,tally_wzZb98,home/electronics,choice-factor matrix candidate,Can generate factor hierarchy and k-means/JTBD if matrix labels are verified.,factor question family present,LOW,B2C Choice
fj_7fab876a9dc3,tally_wzZb98,home/electronics,barrier candidate,"Barrier answers can split non-users, switchers, and low-conversion segments.",barrier question family present,MEDIUM,B2C Choice
fj_43a29d61be02,tally_3NXzGp,food/FMCG,choice-factor matrix candidate,Can generate factor hierarchy and k-means/JTBD if matrix labels are verified.,factor question family present,LOW,B2C Choice
fj_5145c9525fbc,tally_3NXzGp,food/FMCG,scenario/JTBD candidate,Use scenarios/occasions as JTBD bridge before naming clusters.,scenario question family present,MEDIUM,B2C Choice
fj_8baba1ecf16c,tally_3NXzGp,food/FMCG,barrier candidate,"Barrier answers can split non-users, switchers, and low-conversion segments.",barrier question family present,MEDIUM,B2C Choice
fj_53feadbbb958,tally_3E0QYq,auto/mobility,choice-factor matrix candidate,Can generate factor hierarchy and k-means/JTBD if matrix labels are verified.,factor question family present,LOW,B2C Choice
fj_b226f19fa61d,tally_3y2jV8,healthcare,choice-factor matrix candidate,Can generate factor hierarchy and k-means/JTBD if matrix labels are verified.,factor question family present,LOW,B2C Choice
fj_b6b147ae6d3b,tally_3y2jV8,healthcare,scenario/JTBD candidate,Use scenarios/occasions as JTBD bridge before naming clusters.,scenario question family present,MEDIUM,B2C Choice
fj_a5c6b0139522,tally_3y2jV8,healthcare,barrier candidate,"Barrier answers can split non-users, switchers, and low-conversion segments.",barrier question family present,MEDIUM,B2C Choice
fj_3fb163b18705,tally_3XWL74,HR/EVP,choice-factor matrix candidate,Can generate factor hierarchy and k-means/JTBD if matrix labels are verified.,factor question family present,LOW,Internal Employee
fj_5c193e3ba73e,tally_3XWL74,HR/EVP,scenario/JTBD candidate,Use scenarios/occasions as JTBD bridge before naming clusters.,scenario question family present,MEDIUM,Internal Employee
fj_7c4892119ffb,tally_me60Nl,food/FMCG,barrier candidate,"Barrier answers can split non-users, switchers, and low-conversion segments.",barrier question family present,MEDIUM,B2C Choice
fj_a055435baa59,tally_w2Go1L,fitness/wellness,choice-factor matrix candidate,Can generate factor hierarchy and k-means/JTBD if matrix labels are verified.,factor question family present,LOW,B2C Choice
fj_3fd97a308154,tally_w2Go1L,fitness/wellness,scenario/JTBD candidate,Use scenarios/occasions as JTBD bridge before naming clusters.,scenario question family present,MEDIUM,B2C Choice
fj_530e858d0b3b,tally_31dpWg,loyalty,choice-factor matrix candidate,Can generate factor hierarchy and k-means/JTBD if matrix labels are verified.,factor question family present,LOW,B2C Choice
fj_cda9ad0227c8,tally_3xMKXJ,healthcare,choice-factor matrix candidate,Can generate factor hierarchy and k-means/JTBD if matrix labels are verified.,factor question family present,LOW,B2C Choice
fj_6d3809b648b4,tally_3xMKXJ,healthcare,scenario/JTBD candidate,Use scenarios/occasions as JTBD bridge before naming clusters.,scenario question family present,MEDIUM,B2C Choice
fj_1e088ff782c8,tally_wgoNMD,fitness/wellness,choice-factor matrix candidate,Can generate factor hierarchy and k-means/JTBD if matrix labels are verified.,factor question family present,LOW,B2C Choice
fj_0daa73db8d30,tally_wgoNMD,fitness/wellness,scenario/JTBD candidate,Use scenarios/occasions as JTBD bridge before naming clusters.,scenario question family present,MEDIUM,B2C Choice
fj_938f89d8ca72,tally_w46pbO,food/FMCG,choice-factor matrix candidate,Can generate factor hierarchy and k-means/JTBD if matrix labels are verified.,factor question family present,LOW,B2C Choice
fj_bf405ec49572,tally_w46pbO,food/FMCG,scenario/JTBD candidate,Use scenarios/occasions as JTBD bridge before naming clusters.,scenario question family present,MEDIUM,B2C Choice
fj_d20990a273e7,tally_w46pbO,food/FMCG,barrier candidate,"Barrier answers can split non-users, switchers, and low-conversion segments.",barrier question family present,MEDIUM,B2C Choice
fj_9813fcc6918d,tally_nrxkLp,food/FMCG,choice-factor matrix candidate,Can generate factor hierarchy and k-means/JTBD if matrix labels are verified.,factor question family present,LOW,B2C Choice
fj_bbd2061105ca,tally_nrxkLp,food/FMCG,scenario/JTBD candidate,Use scenarios/occasions as JTBD bridge before naming clusters.,scenario question family present,MEDIUM,B2C Choice
fj_9291a88728e2,tally_mOXMkY,healthcare,choice-factor matrix candidate,Can generate factor hierarchy and k-means/JTBD if matrix labels are verified.,factor question family present,LOW,B2C Choice
fj_dd58d5694866,tally_mOXMkY,healthcare,scenario/JTBD candidate,Use scenarios/occasions as JTBD bridge before naming clusters.,scenario question family present,MEDIUM,B2C Choice
fj_accb7bd2caa9,tally_mOXMkY,healthcare,barrier candidate,"Barrier answers can split non-users, switchers, and low-conversion segments.",barrier question family present,MEDIUM,B2C Choice
fj_b74675654bdc,tally_nrOG9R,healthcare,scenario/JTBD candidate,Use scenarios/occasions as JTBD bridge before naming clusters.,scenario question family present,MEDIUM,B2C Choice
fj_10a04199add3,tally_w2Q0b9,healthcare,choice-factor matrix candidate,Can generate factor hierarchy and k-means/JTBD if matrix labels are verified.,factor question family present,LOW,B2C Choice
fj_aa6877b23a96,tally_w2Q0b9,healthcare,scenario/JTBD candidate,Use scenarios/occasions as JTBD bridge before naming clusters.,scenario question family present,MEDIUM,B2C Choice
fj_557162163e2a,tally_w2Q0b9,healthcare,barrier candidate,"Barrier answers can split non-users, switchers, and low-conversion segments.",barrier question family present,MEDIUM,B2C Choice
fj_9c046f7608a2,tally_3EdEXq,finance,choice-factor matrix candidate,Can generate factor hierarchy and k-means/JTBD if matrix labels are verified.,factor question family present,MEDIUM,B2C Choice
fj_60a38a5ca19c,tally_3EdEXq,finance,scenario/JTBD candidate,Use scenarios/occasions as JTBD bridge before naming clusters.,scenario question family present,MEDIUM,B2C Choice
fj_5b801ed88282,tally_w4jl05,HR/EVP,choice-factor matrix candidate,Can generate factor hierarchy and k-means/JTBD if matrix labels are verified.,factor question family present,LOW,Internal Employee
fj_bbf7925faaf3,tally_w4jl05,HR/EVP,scenario/JTBD candidate,Use scenarios/occasions as JTBD bridge before naming clusters.,scenario question family present,MEDIUM,Internal Employee
fj_c2ab2ebe8120,tally_meaMNl,event/conference,choice-factor matrix candidate,Can generate factor hierarchy and k-means/JTBD if matrix labels are verified.,factor question family present,LOW,Event Conference
fj_5c3957c3cb9f,tally_meaMNl,event/conference,scenario/JTBD candidate,Use scenarios/occasions as JTBD bridge before naming clusters.,scenario question family present,MEDIUM,Event Conference
fj_6c12492241a1,tally_meaMNl,event/conference,barrier candidate,"Barrier answers can split non-users, switchers, and low-conversion segments.",barrier question family present,MEDIUM,Event Conference
fj_4285bd7dc5dd,tally_3j1bra,home/electronics,choice-factor matrix candidate,Can generate factor hierarchy and k-means/JTBD if matrix labels are verified.,factor question family present,LOW,B2C Choice
fj_24d6bd13e82e,tally_3j1bra,home/electronics,scenario/JTBD candidate,Use scenarios/occasions as JTBD bridge before naming clusters.,scenario question family present,MEDIUM,B2C Choice
fj_050f0eb56fc6,tally_mYZDvN,HR/EVP,choice-factor matrix candidate,Can generate factor hierarchy and k-means/JTBD if matrix labels are verified.,factor question family present,LOW,Internal Employee
fj_f8282ba566f4,tally_mYZDvN,HR/EVP,scenario/JTBD candidate,Use scenarios/occasions as JTBD bridge before naming clusters.,scenario question family present,MEDIUM,Internal Employee
fj_096b52b4c629,tally_3XDlbe,event/conference,choice-factor matrix candidate,Can generate factor hierarchy and k-means/JTBD if matrix labels are verified.,factor question family present,LOW,Event Conference
fj_1f897e408db2,tally_3XDlbe,event/conference,scenario/JTBD candidate,Use scenarios/occasions as JTBD bridge before naming clusters.,scenario question family present,MEDIUM,Event Conference
fj_2bd8c7b2d4dd,tally_3XDlbe,event/conference,barrier candidate,"Barrier answers can split non-users, switchers, and low-conversion segments.",barrier question family present,MEDIUM,Event Conference
fj_90d28cca6f8e,tally_nP6Jkx,finance,choice-factor matrix candidate,Can generate factor hierarchy and k-means/JTBD if matrix labels are verified.,factor question family present,LOW,B2C Choice
fj_b90681933d66,tally_nP6Jkx,finance,scenario/JTBD candidate,Use scenarios/occasions as JTBD bridge before naming clusters.,scenario question family present,MEDIUM,B2C Choice
fj_b9e5d4d7d99b,tally_wADybN,HR/EVP,scenario/JTBD candidate,Use scenarios/occasions as JTBD bridge before naming clusters.,scenario question family present,MEDIUM,Internal Employee
fj_f36a9466b27c,tally_wkYYpR,healthcare,choice-factor matrix candidate,Can generate factor hierarchy and k-means/JTBD if matrix labels are verified.,factor question family present,LOW,B2C Choice
fj_bd35b98f8cbc,tally_wkYYpR,healthcare,barrier candidate,"Barrier answers can split non-users, switchers, and low-conversion segments.",barrier question family present,MEDIUM,B2C Choice
fj_bf56c1f6f93c,tally_31egdp,food/FMCG,choice-factor matrix candidate,Can generate factor hierarchy and k-means/JTBD if matrix labels are verified.,factor question family present,LOW,B2C Choice
fj_27eb4739174a,tally_31egdp,food/FMCG,scenario/JTBD candidate,Use scenarios/occasions as JTBD bridge before naming clusters.,scenario question family present,MEDIUM,B2C Choice
fj_50072d4170c6,tally_31egdp,food/FMCG,barrier candidate,"Barrier answers can split non-users, switchers, and low-conversion segments.",barrier question family present,MEDIUM,B2C Choice
fj_5dd840a171f0,tally_3ENlQo,finance,choice-factor matrix candidate,Can generate factor hierarchy and k-means/JTBD if matrix labels are verified.,factor question family present,LOW,B2C Choice
fj_b5988c9940e7,tally_3ENlQo,finance,scenario/JTBD candidate,Use scenarios/occasions as JTBD bridge before naming clusters.,scenario question family present,MEDIUM,B2C Choice
fj_1b4f47d526e5,tally_mBBxqQ,HR/EVP,choice-factor matrix candidate,Can generate factor hierarchy and k-means/JTBD if matrix labels are verified.,factor question family present,LOW,EVP Employer
fj_70f1f5e5fdf3,tally_mBBxqQ,HR/EVP,scenario/JTBD candidate,Use scenarios/occasions as JTBD bridge before naming clusters.,scenario question family present,MEDIUM,EVP Employer
fj_d19ba96a0827,tally_3XVBRO,healthcare,choice-factor matrix candidate,Can generate factor hierarchy and k-means/JTBD if matrix labels are verified.,factor question family present,LOW,B2C Choice
fj_30add554bbc5,tally_3XVBRO,healthcare,scenario/JTBD candidate,Use scenarios/occasions as JTBD bridge before naming clusters.,scenario question family present,MEDIUM,B2C Choice
fj_a43d1e14c926,tally_3XVBRO,healthcare,barrier candidate,"Barrier answers can split non-users, switchers, and low-conversion segments.",barrier question family present,MEDIUM,B2C Choice
fj_343ed5721f28,tally_mJ0A4r,auto/mobility,choice-factor matrix candidate,Can generate factor hierarchy and k-means/JTBD if matrix labels are verified.,factor question family present,LOW,B2C Choice
fj_c6b2d1d441ab,tally_3Ele0q,fitness/wellness,choice-factor matrix candidate,Can generate factor hierarchy and k-means/JTBD if matrix labels are verified.,factor question family present,LOW,B2C Choice
fj_b179b6d2d6fa,tally_3Ele0q,fitness/wellness,scenario/JTBD candidate,Use scenarios/occasions as JTBD bridge before naming clusters.,scenario question family present,MEDIUM,B2C Choice
fj_1893fb853249,tally_3Ele0q,fitness/wellness,barrier candidate,"Barrier answers can split non-users, switchers, and low-conversion segments.",barrier question family present,MEDIUM,B2C Choice
fj_c33f5e18843c,tally_w4rGld,unknown,choice-factor matrix candidate,Can generate factor hierarchy and k-means/JTBD if matrix labels are verified.,factor question family present,MEDIUM,B2C Choice
fj_6530acc00b93,tally_mY0xx0,HR/EVP,choice-factor matrix candidate,Can generate factor hierarchy and k-means/JTBD if matrix labels are verified.,factor question family present,LOW,EVP Employer
fj_ed3ac2b16354,tally_mY0xx0,HR/EVP,scenario/JTBD candidate,Use scenarios/occasions as JTBD bridge before naming clusters.,scenario question family present,MEDIUM,EVP Employer
fj_1e6c0a624916,tally_3j7rV9,HR/EVP,choice-factor matrix candidate,Can generate factor hierarchy and k-means/JTBD if matrix labels are verified.,factor question family present,LOW,EVP Employer
fj_3e2362c4c024,tally_3j7rV9,HR/EVP,barrier candidate,"Barrier answers can split non-users, switchers, and low-conversion segments.",barrier question family present,MEDIUM,EVP Employer
fj_96dcfab60ebc,tally_n9o2V4,healthcare,choice-factor matrix candidate,Can generate factor hierarchy and k-means/JTBD if matrix labels are verified.,factor question family present,LOW,B2C Choice
fj_2b3e9b8fdc42,tally_mOP1vk,HR/EVP,choice-factor matrix candidate,Can generate factor hierarchy and k-means/JTBD if matrix labels are verified.,factor question family present,LOW,Internal Employee
fj_9487346a9e5d,tally_mOP1vk,HR/EVP,scenario/JTBD candidate,Use scenarios/occasions as JTBD bridge before naming clusters.,scenario question family present,MEDIUM,Internal Employee
fj_0f58f905b42c,tally_xXdNZJ,food/FMCG,choice-factor matrix candidate,Can generate factor hierarchy and k-means/JTBD if matrix labels are verified.,factor question family present,LOW,B2C Choice
fj_c6ff3ddfed0c,tally_xXdNZJ,food/FMCG,scenario/JTBD candidate,Use scenarios/occasions as JTBD bridge before naming clusters.,scenario question family present,MEDIUM,B2C Choice
fj_1ab8a0c13951,tally_xXdNZJ,food/FMCG,barrier candidate,"Barrier answers can split non-users, switchers, and low-conversion segments.",barrier question family present,MEDIUM,B2C Choice
fj_a021671f97ef,tally_w7KMxA,HR/EVP,choice-factor matrix candidate,Can generate factor hierarchy and k-means/JTBD if matrix labels are verified.,factor question family present,LOW,EVP Employer
fj_adb7ed664359,tally_mV81Wj,fitness/wellness,choice-factor matrix candidate,Can generate factor hierarchy and k-means/JTBD if matrix labels are verified.,factor question family present,LOW,B2C Choice
fj_5866d1256890,tally_mV81Wj,fitness/wellness,scenario/JTBD candidate,Use scenarios/occasions as JTBD bridge before naming clusters.,scenario question family present,MEDIUM,B2C Choice
fj_adf69471a743,tally_wQYN7k,HR/EVP,choice-factor matrix candidate,Can generate factor hierarchy and k-means/JTBD if matrix labels are verified.,factor question family present,LOW,EVP Employer
fj_045cb6f128e9,tally_wQYN7k,HR/EVP,scenario/JTBD candidate,Use scenarios/occasions as JTBD bridge before naming clusters.,scenario question family present,MEDIUM,EVP Employer
fj_df4156474a30,tally_wQYN7k,HR/EVP,barrier candidate,"Barrier answers can split non-users, switchers, and low-conversion segments.",barrier question family present,MEDIUM,EVP Employer
fj_c6f60874d383,tally_w72OQ0,fitness/wellness,choice-factor matrix candidate,Can generate factor hierarchy and k-means/JTBD if matrix labels are verified.,factor question family present,LOW,B2C Choice
fj_f1475022ef9f,tally_w72OQ0,fitness/wellness,scenario/JTBD candidate,Use scenarios/occasions as JTBD bridge before naming clusters.,scenario question family present,MEDIUM,B2C Choice
fj_797172662ad4,tally_w72OQ0,fitness/wellness,barrier candidate,"Barrier answers can split non-users, switchers, and low-conversion segments.",barrier question family present,MEDIUM,B2C Choice
fj_f66158b397bc,tally_nrVLRL,healthcare,choice-factor matrix candidate,Can generate factor hierarchy and k-means/JTBD if matrix labels are verified.,factor question family present,LOW,B2C Choice
fj_687d7cf57db8,tally_nrVLRL,healthcare,scenario/JTBD candidate,Use scenarios/occasions as JTBD bridge before naming clusters.,scenario question family present,MEDIUM,B2C Choice
fj_0f764c6eb7cb,tally_nrVLRL,healthcare,barrier candidate,"Barrier answers can split non-users, switchers, and low-conversion segments.",barrier question family present,MEDIUM,B2C Choice
fj_864491cfa5ae,tally_w2xJ1V,healthcare,choice-factor matrix candidate,Can generate factor hierarchy and k-means/JTBD if matrix labels are verified.,factor question family present,LOW,B2C Choice
fj_c491e428f3d7,tally_w2xJ1V,healthcare,scenario/JTBD candidate,Use scenarios/occasions as JTBD bridge before naming clusters.,scenario question family present,MEDIUM,B2C Choice
fj_80576e026a9a,tally_w2xJ1V,healthcare,barrier candidate,"Barrier answers can split non-users, switchers, and low-conversion segments.",barrier question family present,MEDIUM,B2C Choice
fj_cfac52d9d64c,tally_nrorkp,event/conference,choice-factor matrix candidate,Can generate factor hierarchy and k-means/JTBD if matrix labels are verified.,factor question family present,LOW,Event Conference
fj_390f505023ed,tally_nrorkp,event/conference,scenario/JTBD candidate,Use scenarios/occasions as JTBD bridge before naming clusters.,scenario question family present,MEDIUM,Event Conference
fj_377011928646,tally_nrorkp,event/conference,barrier candidate,"Barrier answers can split non-users, switchers, and low-conversion segments.",barrier question family present,MEDIUM,Event Conference
fj_b7f628ec40e9,tally_wd7Ojy,food/FMCG,choice-factor matrix candidate,Can generate factor hierarchy and k-means/JTBD if matrix labels are verified.,factor question family present,LOW,B2C Choice
fj_9001d93ab238,tally_wd7Ojy,food/FMCG,scenario/JTBD candidate,Use scenarios/occasions as JTBD bridge before naming clusters.,scenario question family present,MEDIUM,B2C Choice
fj_7057a0129634,tally_wd7Ojy,food/FMCG,barrier candidate,"Barrier answers can split non-users, switchers, and low-conversion segments.",barrier question family present,MEDIUM,B2C Choice
fj_16a0bed70d73,tally_311M4Q,construction/materials,choice-factor matrix candidate,Can generate factor hierarchy and k-means/JTBD if matrix labels are verified.,factor question family present,LOW,B2B2C
fj_d299c6cbd583,tally_311M4Q,construction/materials,scenario/JTBD candidate,Use scenarios/occasions as JTBD bridge before naming clusters.,scenario question family present,MEDIUM,B2B2C
fj_5d77048ead7e,tally_311M4Q,construction/materials,barrier candidate,"Barrier answers can split non-users, switchers, and low-conversion segments.",barrier question family present,MEDIUM,B2B2C
fj_986e29ab50dd,tally_EkPbkr,food/FMCG,scenario/JTBD candidate,Use scenarios/occasions as JTBD bridge before naming clusters.,scenario question family present,MEDIUM,B2C Choice
fj_e29508a514d0,tally_EkPbkr,food/FMCG,barrier candidate,"Barrier answers can split non-users, switchers, and low-conversion segments.",barrier question family present,MEDIUM,B2C Choice
fj_de30bfeecfe7,tally_3Xq28g,HR/EVP,choice-factor matrix candidate,Can generate factor hierarchy and k-means/JTBD if matrix labels are verified.,factor question family present,LOW,EVP Employer
fj_84d682abb5b8,tally_3Xq28g,HR/EVP,barrier candidate,"Barrier answers can split non-users, switchers, and low-conversion segments.",barrier question family present,MEDIUM,EVP Employer
fj_c8b851652c5a,tally_wMajBk,healthcare,choice-factor matrix candidate,Can generate factor hierarchy and k-means/JTBD if matrix labels are verified.,factor question family present,LOW,B2C Choice
fj_4c472680f52f,tally_wMajBk,healthcare,scenario/JTBD candidate,Use scenarios/occasions as JTBD bridge before naming clusters.,scenario question family present,MEDIUM,B2C Choice
fj_b39d0e827057,tally_wMajBk,healthcare,barrier candidate,"Barrier answers can split non-users, switchers, and low-conversion segments.",barrier question family present,MEDIUM,B2C Choice
fj_7ec380c993e1,tally_wQ0kPl,food/FMCG,choice-factor matrix candidate,Can generate factor hierarchy and k-means/JTBD if matrix labels are verified.,factor question family present,LOW,B2C Choice
fj_3638dc880d54,tally_wQ0kPl,food/FMCG,scenario/JTBD candidate,Use scenarios/occasions as JTBD bridge before naming clusters.,scenario question family present,MEDIUM,B2C Choice
fj_30bb36610047,tally_mBdjeR,home/electronics,choice-factor matrix candidate,Can generate factor hierarchy and k-means/JTBD if matrix labels are verified.,factor question family present,LOW,B2C Choice
fj_26620babd091,tally_mO0Gxg,auto/mobility,choice-factor matrix candidate,Can generate factor hierarchy and k-means/JTBD if matrix labels are verified.,factor question family present,LOW,B2C Choice
fj_270d8d2f3acc,tally_mVbAdJ,event/conference,choice-factor matrix candidate,Can generate factor hierarchy and k-means/JTBD if matrix labels are verified.,factor question family present,LOW,Event Conference
fj_0b56283d999d,tally_mVbAdJ,event/conference,barrier candidate,"Barrier answers can split non-users, switchers, and low-conversion segments.",barrier question family present,MEDIUM,Event Conference
fj_83137879f8e4,tally_mR5L8p,HR/EVP,choice-factor matrix candidate,Can generate factor hierarchy and k-means/JTBD if matrix labels are verified.,factor question family present,LOW,Internal Employee
fj_9ffbf1704370,tally_mR5L8p,HR/EVP,scenario/JTBD candidate,Use scenarios/occasions as JTBD bridge before naming clusters.,scenario question family present,MEDIUM,Internal Employee
fj_ac4ee9e4ddbe,tally_GxKD0e,healthcare,choice-factor matrix candidate,Can generate factor hierarchy and k-means/JTBD if matrix labels are verified.,factor question family present,LOW,B2C Choice
fj_8700c1ca54b3,tally_GxKD0e,healthcare,scenario/JTBD candidate,Use scenarios/occasions as JTBD bridge before naming clusters.,scenario question family present,MEDIUM,B2C Choice
fj_e10e0a361ed3,tally_GxKD0e,healthcare,barrier candidate,"Barrier answers can split non-users, switchers, and low-conversion segments.",barrier question family present,MEDIUM,B2C Choice
fj_0183fc7bd58e,tally_Zj8dZ5,home/electronics,choice-factor matrix candidate,Can generate factor hierarchy and k-means/JTBD if matrix labels are verified.,factor question family present,LOW,B2C Choice
fj_75bc8c8c837d,tally_Zj8dZ5,home/electronics,scenario/JTBD candidate,Use scenarios/occasions as JTBD bridge before naming clusters.,scenario question family present,MEDIUM,B2C Choice
fj_5c181c93a93a,tally_w2k0VA,education,choice-factor matrix candidate,Can generate factor hierarchy and k-means/JTBD if matrix labels are verified.,factor question family present,LOW,B2C Choice
fj_e10e070b7668,tally_w2k0VA,education,scenario/JTBD candidate,Use scenarios/occasions as JTBD bridge before naming clusters.,scenario question family present,MEDIUM,B2C Choice
fj_62d2220da187,tally_w2k0VA,education,barrier candidate,"Barrier answers can split non-users, switchers, and low-conversion segments.",barrier question family present,MEDIUM,B2C Choice
fj_2b0cd15bbb18,tally_n9o71Y,finance,choice-factor matrix candidate,Can generate factor hierarchy and k-means/JTBD if matrix labels are verified.,factor question family present,LOW,B2C Choice
fj_c3f97c43d57c,tally_n9o71Y,finance,scenario/JTBD candidate,Use scenarios/occasions as JTBD bridge before naming clusters.,scenario question family present,MEDIUM,B2C Choice
fj_21ab8ea4a148,tally_3XKa5d,auto/mobility,choice-factor matrix candidate,Can generate factor hierarchy and k-means/JTBD if matrix labels are verified.,factor question family present,LOW,B2B2C
fj_9cf714e34cd5,tally_3XKa5d,auto/mobility,barrier candidate,"Barrier answers can split non-users, switchers, and low-conversion segments.",barrier question family present,MEDIUM,B2B2C
fj_2adcf107e8af,tally_wvP1zl,event/conference,choice-factor matrix candidate,Can generate factor hierarchy and k-means/JTBD if matrix labels are verified.,factor question family present,LOW,Event Conference
fj_f6da157e13cc,tally_wvP1zl,event/conference,barrier candidate,"Barrier answers can split non-users, switchers, and low-conversion segments.",barrier question family present,MEDIUM,Event Conference
fj_b638207899e4,tally_w4rkpO,HR/EVP,choice-factor matrix candidate,Can generate factor hierarchy and k-means/JTBD if matrix labels are verified.,factor question family present,LOW,Internal Employee
fj_124ebd8cae2f,tally_w4rkpO,HR/EVP,scenario/JTBD candidate,Use scenarios/occasions as JTBD bridge before naming clusters.,scenario question family present,MEDIUM,Internal Employee
fj_46d8dec9b8e9,tally_w4PRBA,auto/mobility,choice-factor matrix candidate,Can generate factor hierarchy and k-means/JTBD if matrix labels are verified.,factor question family present,LOW,B2C Choice
fj_d1e6cceeb729,tally_w4p4er,finance,choice-factor matrix candidate,Can generate factor hierarchy and k-means/JTBD if matrix labels are verified.,factor question family present,LOW,B2C Choice
fj_dbd7baeb838b,tally_w4p4er,finance,scenario/JTBD candidate,Use scenarios/occasions as JTBD bridge before naming clusters.,scenario question family present,MEDIUM,B2C Choice
fj_c4a16812c3c5,tally_w2x8WM,event/conference,choice-factor matrix candidate,Can generate factor hierarchy and k-means/JTBD if matrix labels are verified.,factor question family present,LOW,Event Conference
fj_de61f4d59a10,tally_w2x8WM,event/conference,scenario/JTBD candidate,Use scenarios/occasions as JTBD bridge before naming clusters.,scenario question family present,MEDIUM,Event Conference
fj_a1036c7f8b51,tally_w2x8WM,event/conference,barrier candidate,"Barrier answers can split non-users, switchers, and low-conversion segments.",barrier question family present,MEDIUM,Event Conference
fj_ddf73296693f,tally_mJ0X24,healthcare,choice-factor matrix candidate,Can generate factor hierarchy and k-means/JTBD if matrix labels are verified.,factor question family present,LOW,B2C Choice
fj_a32d1d19d8c7,tally_mJ0X24,healthcare,scenario/JTBD candidate,Use scenarios/occasions as JTBD bridge before naming clusters.,scenario question family present,MEDIUM,B2C Choice
